prod-descr;prod-marca;prod-detalhe;prod-fps;toque seco;todos os tipos de pele;resistente à água;rápida absorção;textura leve;ação antioxidante;controle de oleosidade;possui textura;radicais livres;ácido hialurônico;efeito matte;oil free;oil control;pele oleosa;linhas de expressão;previne o envelhecimento;alta cobertura;previne rugas;uso diário;dermatologicamente testado;textura ultraleve;water gel
 Alva  Protetor Natural Stick FPS 45 - Sem Cor 16g - Sun ; Alva ;Nosso protetor solar físico sem cor é formulado com óxido de zinco, oferecendo proteção natural contra os raios UV e UVA. Ele contém uma formulação única com ingredientes multifuncionais, como:- Esqualano: Auxilia na retenção de água da pele enquanto controla a oleosidade.- Óleo de jojoba: Fortalece a barreira protetora da pele, reduz o estresse oxidativo das células e estimula a produção de colágeno.Nosso protetor solar é vegano e 100% mineral. Com toque sequinho, se adapta facilmente a todos os tipos de pele, inclusive as oleosas e acneicas,sem deixar resíduos esbranquiçados na pele.;45;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Protetor Solar Facial FPS 50 Anasol - 60g; Anasol;Uso diário, para todo tipo de pele. Loção oil free de toque seco, contém argila que reduz a oleosidade da pele. A ação hidratante da Aloe Vera associada à Pró-Vitamina B5 e Vitamina E neutraliza os radicais livres. Ajuda a prevenir queimaduras solares causadas por raios UVB, assim como manchas e rugas causadas por raios UVA. Contém proteção UVA equivalente a, no mínimo, 1/3 do FPS declarado (proteção UVB). Aumenta a proteção da pele 50 vezes e é indicado para pele muito sensível a queimaduras solares. Oferece alta proteção contra queimaduras solares.   Benefícios: • FPS 50 - Dupla proteção UVA/UVB.  • Contém polímero natural que promove efeito matte e toque seco.  • Argila mineral que auxilia no controle da oleosidade e repõe minerais à pele.  • Vitamina E, Aloe Vera e Pantenol com ação hidratante e antioxidante.  • Resistente à água, dermatologicamente testado, não comedogênico e oil free.  • Uso diário.   Ativos: . Aloe Vera, Argila, Pantenol, Vitamina E, Tinosorb® M, Dióxido de Titânio e Uvinul® A Plus.  Modo de Usar:  Agite antes de usar. Aplique abundantemente antes da exposição ao sol. Resistente à água: mantém a proteção solar por 40 minutos dentro da água. Reaplicar sempre, após sudorese intensa, nadar ou banhar-se, secar-se com toalha e durante a exposição ao sol. É necessária a reaplicação do produto para manter sua efetividade. Se a quantidade aplicada não for adequada, o nível de proteção será significativamente reduzido.  Registro ANVISA:25351.430393/2013-74;50;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;1;0;0
Protetor Solar Facial FPS 50 Anasol - 60g; Anasol;Saborino Morning Facial Sheet Mascara (Imagem Ilustrativa).;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Protetor Solar Facial FPS 70 Clareador Anasol - 60g; Anasol;Uso diário, para todo tipo de pele. Loção oil free com toque seco. Contém Niacinamida que auxilia no clareamento e uniformização da pele, Aloe Vera, Pró-Vitamina B5, Argila e Vitamina E que promovem hidratação, redução da oleosidade e neutralização dos radicais livres.   Com ação antissinais, auxilia na prevenção das rugas, envelhecimento precoce e queimaduras causadas pelos raios solares. Contém proteção UVA equivalente a, no mínimo, 1/3 do FPS declarado (proteção UVB). Ajuda a proteger contra a luz visível e minimiza os danos mais profundos na pele causados pelos raios infravermelhos (IV), devido à ação antioxidante do produto. Oferece proteção muito alta. Dermatologicamente testado. Formulado de maneira a minimizar possível surgimento de alergia.   Benefícios: ? FPS 70 - Ampla Proteção: UVA, UVB, luz visível e raios infravermelhos. ? Clareia e uniformiza a pele. ? Ação antissinais. ? Promove efeito matte e toque seco. ? Contém Argila orgânica que auxilia no controle da oleosidade e repõe minerais à pele. ? Vitamina E, Aloe Vera e Pantenol com ação hidratante e antioxidante. ? Resistente à água. ? Oil free. ? Dermatologicamente testado, hipoalergênico, não comedogênico. ? Uso diário.  Ativos:  Niacinamida, Polímero Natural, Tinosorb M, Dióxido de Titânio, Uvinul A Plus, Neo Heliopan AP.  Modo de Usar:  Agite antes de usar. Proteção imediata. Aplique abundantemente antes da exposição ao sol. Resistente à água: mantém a proteção solar por 40 minutos dentro da água. Reaplicar sempre, após sudorese intensa, nadar ou banhar-se, secar-se com toalha e durante a exposição ao sol. É necessária a reaplicação do produto para manter a sua efetividade. Se a quantidade aplicada não for adequada, o nível de proteção será significativamente reduzido.  Registro ANVISA: 25351.682379/2018-41;70;1;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0
Protetor Solar Facial FPS 70 Clareador Anasol - 60g; Anasol;SEM DETALHE;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 Anasol  FPS 50 - Protetor Solar Facial 60g ; Anasol ;Protetor solar facial para todos os tipos de pele. Com efeito matte e toque seco, Anasol Protetor Solar oferece alta proteção solar.O Protetor Solar Anasol conta com a ação hidratante da aloe vera associada ao poder antioxidante da vitamina E. Além disso, possui argila que reduz a oleosidade da peleA fórmula ajuda a prevenir queimaduras solares causadas por raios UVB, assim como manchas e rugas causadas por raios UVA. Aumenta a proteção da pele 50 vezes e é indicado para pele muito sensível a queimaduras solares. ;50;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
 Anasol  FPS 70 - Protetor Solar Facial 60g ; Anasol ;Protetor solar facial para todos os tipos de pele. Com fórmula oil free de toque seco, Anasol FPS 70 oferece alta proteção com rápida absorção.O Protetor Solar Anasol FPS 70 ajuda a prevenir queimaduras solares causadas por raios UVB, assim como manchas e rugas causadas por raios UVA.Contém argila que reduz a oleosidade da pele e ação hidratante da aloe vera associada às vitaminas E e B5, que neutralizam os radicais livres. É indicado para pele extremamente sensível a queimaduras solares. ;70;1;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
 Anasol  Multifunção FPS 60 Base Média - Protetor Solar com Cor 60g ; Anasol ;Protetor solar facial com cor. Anasol Multifunção FPS60 mantém o rosto hidratado e protegido contra os raios ultravioletas e luz visível. Protetor Solar Anasol Multifunção FPS60 uniformiza, possui ação clareadora e não obstrui os poros graças à sua fórmula oil free. Hipoalergênico, ele não causa irritações ou alergias na pele, e é perfeito para otimizar a rotina de quem tem a vida agitada, pois ele funciona como uma base de maquiagem. Assim, você fica com a pele sem imperfeições e ainda cria o hábito de passar filtro solar todos os dias no rosto. ;60;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
 Australian Gold  Antipoluição FPS 30 - Protetor Solar Facial 50g ; Australian Gold ;Protetor solar facial para todos os tipos de pele, com acabamento matte. Australian Gold Antipoluição FPS 30 promove alta proteção contra poluição, raios UVA/UVB e envelhecimento precoce do rosto.O Protetor Solar Facial Australian Gold Antipoluição FPS 30 apresenta a textura gel-creme, que é leve e de rápida absorção. Fórmula enriquecida com chá-verde e ameixa Kakadu, oil-free e resistente à água, indicada para pele muitos sensíveis à queimadura solar. Produto vegano, dermatologicamente testado, sem parabenos e oxibenzona.;30;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
 Australian Gold  Antipoluição FPS 50 - Protetor Solar Facial 50g ; Australian Gold ;Protetor solar facial para todos os tipos de pele. Com acabamento matte, Australian Gold Antipoluição FPS 50 garante ação antipoluição, antienvelhecimento e alta proteção contra os raios UVA/UVB.O Protetor Solar Facial Australian Gold Antipoluição FPS 50 traz toque seco ao rosto, graças a textura leve, oil free e de rápida absorção. Formulado com chá-verde e ameixa Kakadu, não obstrui os poros e entrega proteção com saúde a sua pele. Produto vegano, dermatologicamente testado, sem parabenos e oxibenzona.;50;1;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
 Australian Gold  FPS 60 Cor 01 - Protetor Solar com Cor 40g ; Australian Gold ;Protetor solar facial com cor para todos os tipos de pele. Australian Gold FPS 60 garante alta proteção, efeito matte e cobertura natural.O Protetor Solar Australian Gold FPS 60 conta com fórmula gel-creme ultraleve que não obstrui os poros. Oferece diversos benefícios, como ação antioleosidade, antipoluição e antienvelhecimento e proteção eficaz UVA + UVB + luz visível.;60;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
 Australian Gold  FPS 60 Cor 02 - Protetor Solar com Cor 40g ; Australian Gold ;Protetor solar facial com cor para todos os tipos de pele. Australian Gold FPS 60 garante alta proteção, efeito matte e cobertura natural.O Protetor Solar Australian Gold FPS 60 conta com fórmula gel-creme ultraleve que não obstrui os poros. Oferece diversos benefícios, como ação antioleosidade, antipoluição e antienvelhecimento e proteção eficaz UVA + UVB + luz visível.;60;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
 Australian Gold  FPS 60 Cor 03 - Protetor Solar com Cor 40g ; Australian Gold ;Protetor solar facial com cor para todos os tipos de pele. Australian Gold FPS 60 garante alta proteção, efeito matte e cobertura natural.O Protetor Solar Australian Gold FPS 60 conta com fórmula gel-creme ultraleve que não obstrui os poros. Oferece diversos benefícios, como ação antioleosidade, antipoluição e antienvelhecimento e proteção eficaz UVA + UVB + luz visível.;60;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
 Avène  Mat Perfect FPS 30 - Protetor Solar com Cor 40g ; Avène ;Protetor solar facial com cor para peles sensíveis, de mistas a oleosas. Avène Mat Perfect FPS 30 matifica e uniformiza o tom do rosto, além de oferecer alta proteção contra os raios UVA e UVB.O Protetor Solar com Cor Avène Mat Perfect FPS 30 conta com textura oil-free que promove rápida absorção e toque seco. Com formulação exclusiva e poderosa - que apresenta Pré-Vitamina E e Pré-Vitamina C entre suas grandes estrelas, o produto também disfarça as imperfeições, promove ação antioxidante e hidrata profundamente.;30;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 Avène  Mat Perfect FPS 60 - Protetor Solar com Cor 40g ; Avène ;Protetor solar facial com cor, para peles sensíveis mistas a oleosas. Avène Mat Perfect Fluido com Cor FPS 60, ação matificante por 12 horas e uniformiza o tom da pele.O Protetor Solar Avène Mat Perfect Fluido com Cor FPS 60 possui textura oil-free de toque seco que o torna super confortável de usar. Além disso, traz uma tecnologia que absorve 3x mais rápido a oleosidade e 16x mais rápido o suor.Além de contar com um blend de pigmentos com alto poder de cobertura das irregularidades da pele e dos poros, esse protetor Avène possui uma fórmula rica em Pré-tocoferil, um potente antioxidante que age em sinergia com o Ascorbil Glucosídeo, precursor da vitamina C, para uma proteção reforçada contra os radicais livres.;60;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
 Avène  Mat Perfect Fluido Antiacne FPS 60 - Protetor Solar Facial 40g ; Avène ;Protetor solar facial para peles oleosas a acneicas. Avène Mat Perfect Fluido Antiacne conta com alta proteção solar e textura oil-free.O Protetor Solar Facial Avène Mat Perfect Fluido Antiacne possui rápida absorção, resistência à agua e proteção contra radicais livres. Sua fórmula absorve a oleosidade excessiva e mantém a pele sem brilho por até 12h, enquanto protege dos raios UVA e UVB: um protetor solar facial ideal para peles oleosas a acneicas. Sua composição ainda é eco-friendly, já que é livre de Silicones, Octocrileno, Octil Salicilato e Benzofenona, ativos que causam impactos nos corais marinhos e fitoplânctons.Inicie sua rotina de skincare com o Gel de Limpeza Facial Cleanance, de Avène. ;60;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
 Avène  Mat Perfect Fluido Clareador FPS70 Claro - Protetor Solar Facial com Cor 40g ; Avène ;Protetor solar facial para peles sensíveis, mistas a oleosas e com hiperpigmentações. Avène Mat Perfect Fluido Clareador FPS 70 ajuda a uniformizar manchas com prevenção e ação clareadora, além de alta proteção contra os raios UVB, UVA e matificação da aparência por até 12 horas.Desenvolvido especialmente para a pele brasileira, o Protetor Solar Avène Mat Perfect Fluido Clareador FPS 70 traz um poderoso Complexo Clareador e antioxidante, HMC + Dextran, enriquecido com vitamina E, que garante um efeito uniformizador enquanto proteger contra o rosto dos radicais livres. Com pigmentos corretivos presentes na fórmula, sua cobertura promove tom homogêneo com o toque aveludado e natural. Não contém álcool, parabenos, fragrância e corantes.;70;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
 Avène  Mat Perfect Fluido Clareador FPS70 Médio - Protetor Solar Facial com Cor 40g ; Avène ;Protetor solar facial para peles sensíveis, mistas a oleosas e com hiperpigmentações. Avène Mat Perfect Fluido Clareador FPS 70 ajuda a uniformizar manchas com prevenção e ação clareadora, além de alta proteção contra os raios UVB, UVA e matificação da aparência por até 12 horas.Desenvolvido especialmente para a pele brasileira, o Protetor Solar Avène Mat Perfect Fluido Clareador FPS 70 traz um poderoso Complexo Clareador e antioxidante, HMC + Dextran, enriquecido com vitamina E, que garante um efeito uniformizador enquanto proteger contra o rosto dos radicais livres. Com pigmentos corretivos presentes na fórmula, sua cobertura promove tom homogêneo com o toque aveludado e natural. Não contém álcool, parabenos, fragrância e corantes.;70;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
 Avène  Mat Perfect Fluido Ultra Mate FPS 60 - Protetor Solar 40g ; Avène ;          Protetor solar para peles oleosas. Com vitamina C, Avène Mat Perfect Fluido Ultra Mate FPS 60 combate os radicais livres enquanto protege dos raios UV.                    Protetor Solar Avène Mat Perfect Fluido Ultra Mate FPS 60 apresenta fórmula de textura ultra confortável, oil-free e com toque seco, que garante 12 horas de efeito matificante. Além disso, ajuda a prevenir os principais danos associados ao fotoenvelhecimento como manchas, rugas e flacidez.          ;60;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
 Beyoung  Essential Oil Control FPS 30 - Protetor Solar Facial 40g ; Beyoung ;Protetor solar facial para pele mista, oleosa e acneica. Beyoung Essential Oil Control FPS 30 controla a oleosidade excessiva, com ação antioxidante e efeito matte.O Protetor Solar Beyoung Essential Oil Control FPS 30 conta com efeito matte e toque seco, controla e trata a oleosidade da pele, reduz o brilho e poros e tem ação antioxidante, prevenindo contra o envelhecimento cutâneo.Sua fórmula com tecnologia 360º de proteção urbana protege contra raios UVA, UVB, luz azul, luz visível, infravermelho e antipoluição. Possui ativos que equilibram a microbiota e protegem a barreira cutânea, fortalecendo as defesas naturais da pele. Sua textura agradável é uma loção fluida, de rápida absorção e fácil de espalhar.Não deixa resíduos brancos e pode ser usado antes da maquiagem. Não comedogênico e não acnegênico.;30;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
 Beyoung  KIT BEYOUNG SKINCARE ANTIOXIDANTE - VITA C 18 30ML - GENTLE CLEANSER 90G - ESSENTIAL OIL CONTROL FPS 30 40G ; Beyoung ;Rotina potente e funcional com ação antioxidante.Prefere rotinas de skincare simples e rápidas, mas que funcionam de verdade? Então, essa aqui é para você!Em apenas três passos você vai conquistar: limpeza profunda, tratamento com ação antioxidante e proteção.Vita C 18 30ml: Se?rum com tripla ac?a?o antioxidante que previne o envelhecimento, reduz linhas finas e deixa sua pele mais uniforme, macia e iluminada.Gentle Cleanser 90g: Gel de limpeza suave multifuncional: limpa profundamente, sem ressecar ou agredir a barreira natural de proteção da pele. Tipos de pele: sensíveis, normais e secas.Essential Oil Control FPS 30 40g: Protetor solar com toque seco e efeito matte imediato que controla e trata a oleosidade. Tem textura fluída, rápida absorção e fácil de espalhar.;30;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
 Beyoung  KIT BEYOUNG TRATAMENTO CLAREADOR DE MANCHAS - CLARIFY TONE 30ML - GENTLE CLEANSER 90G - ESSENTIAL OIL CONTROL FPS 30 40G ; Beyoung ;Chega de deixar as manchas roubarem a sua autoestima! Com essa rotina você tem clareamento contínuo de manchas, uma pele mais uniforme e iluminada após 7 dias de uso e resultados comprovados contra manchas de acne, melasma e muito mais. Leve Limpeza + Tratamento + Proteção para potencializar os seus efeitos!Clarify Tone 30ml: Sérum clareador mais potente do mercado: 5 ativos clareadores e resultados a partir de 7 dias.Gentle Cleanser 90g: Gel de limpeza suave multifuncional: limpa profundamente, sem ressecar ou agredir a barreira natural de proteção da pele. Tipos de pele: sensíveis, normais e secas.Essential Oil Control FPS 30 40g: Protetor solar com toque seco e efeito matte imediato que controla e trata a oleosidade. Tem textura fluída, rápida absorção e fácil de espalhar.;30;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Protetor Solar Facial Bioderma Photoderm Cover Touch FPS 50+ - Claro; Bioderma;Photoderm Cover Touch FPS 50+ é a 1ª² proteção mineral com cobertura total¹ especialmente formulada para peles oleosas. Sua textura revolucionária oferece proteção e cobertura de longa duração em uma fórmula leve e minimalista que deixa a pele respirar, mantendo-a uniforme, confortável e livre de oleosidade o dia todo³.  Com filtros e pigmentos 100% físicos e minerais, Photoderm Cover Touch FPS 50+oferece muito alta proteção contra a radiação UVB, UVA e luz visível. Dia após dia, Photoderm Cover Touch FPS 50+ reduz a oleosidade³ através da patente Fluidactiv™, prevenindo o surgimento de novos cravos e espinhas.  Textura revolucionária: Tecnologia com pigmentos que se dispersam perfeitamente para uma cobertura total que não obstrui os poros, não craquela e não acumula em linhas de expressão. Alta fixação mesmo em condições extremas: fórmula muito resistente à água, suor e calor. Não transfere4 e não derrete ao longo do dia, com 08h de efeito base com controle do brilho e da oleosidade³.   Sobre a marca: Na BIODERMA a pele é nossa paixão, nossa expertise, nosso modelo. É observando a biologia da pele e analisando o que ela faz de melhor que nós encontramos a inspiração para criar cuidados dermatológicos que restauram e fortalecem o equilíbrio natural da pele, preservando sua saúde e a beleza de forma duradoura.;50;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Protetor Solar Facial Bioderma Photoderm Cover Touch FPS 50+ - Claro; Bioderma;SEM DETALHE;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Protetor Solar Facial Bioderma Photoderm Cover Touch FPS 50+ - Escuro; Bioderma;Photoderm Cover Touch FPS 50+ é a 1ª² proteção mineral com cobertura total¹ especialmente formulada para peles oleosas. Sua textura revolucionária oferece proteção e cobertura de longa duração em uma fórmula leve e minimalista que deixa a pele respirar, mantendo-a uniforme, confortável e livre de oleosidade o dia todo³.  Com filtros e pigmentos 100% físicos e minerais, Photoderm Cover Touch FPS 50+oferece muito alta proteção contra a radiação UVB, UVA e luz visível. Dia após dia, Photoderm Cover Touch FPS 50+ reduz a oleosidade³ através da patente Fluidactiv™, prevenindo o surgimento de novos cravos e espinhas.  Textura revolucionária: Tecnologia com pigmentos que se dispersam perfeitamente para uma cobertura total que não obstrui os poros, não craquela e não acumula em linhas de expressão. Alta fixação mesmo em condições extremas: fórmula muito resistente à água, suor e calor. Não transfere4 e não derrete ao longo do dia, com 08h de efeito base com controle do brilho e da oleosidade³.   Sobre a marca: Na BIODERMA a pele é nossa paixão, nossa expertise, nosso modelo. É observando a biologia da pele e analisando o que ela faz de melhor que nós encontramos a inspiração para criar cuidados dermatológicos que restauram e fortalecem o equilíbrio natural da pele, preservando sua saúde e a beleza de forma duradoura.;50;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
 Bioderma  Photoderm Antioleosidade FPS 70 - Protetor Solar Facial 40g ; Bioderma ;Protetor solar facial para peles mistas, oleosas e com tendência à acne. Bioderma Photoderm Antioleosidade FPS 70 oferece alta proteção solar com controle da oleosidade.O Protetor Solar Facial Bioderma Photoderm Antioleosidade FPS 70 conta com textura ultra seca e efeito matte imediato, com fórmula desenvolvida na França exclusivamente para a pele brasileira. Garante controle da oleosidade por 8h e sensação de pele fresca e limpa. Formulado com a exclusiva Tecnologia Fluidactiv, ajuda a prevenir o aparecimento da acne e Sun Active Defense, com ativos antioxidantes. É resistente à água e ao suor. *Tolerância ocular. Testado sob supervisão dermatológica. Não comedogênico (não causa acne). Fotoestável. ;70;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
