prod_descricao;prod_marca;prod_detalhe;prod_fps
Gel Limpeza Deep Clean Neutrogena Grapefruit - 60g; Neutrogena;Neutrogena Deep Clean Grapefruit limpa profundamente os poros, removendo 99% das impurezas e oleosidade da pele, deixando sua pele ultra limpa e fresca, todos os dias.   Sua fórmula que combina o ativo beta-hidróxido e o extrato natural de grapefruit, deixando sua pele ultra limpa e fresca, todos os dias. Reduz o brilho e a oleosidade. Desobstrui os poros e remove 99% das impurezas.  Sua fórmula possui ácido salicílico e extrato natural de grapefruit que potencializam a limpeza, removendo efetivamente a oleosidade. Deixa a pele limpa e reduz seu brilho, além de combater e prevenir cravos e espinhas.   Dermatologicamente Testado. Sem parabenos, sem óleo, sem álcool e sem sabão.   Modo de uso:  Aplique o produto sobre o rosto úmido e massageie até formar uma espuma cremosa. Enxágue com água em abundância. Uso diário. Uso externo.   Precauções:  Não ingerir. Evite contato com os olhos. Caso isso aconteça enxágue com água em abundância. Não usar em crianças. Em caso de irritação ou alergia, descontinuar o uso. Conservar fora do alcance de crianças em local seco e fresco. Recomenda-se o uso de protetor solar diariamente.;0
Gel de Limpeza Profunda Deep Clean Neutrogena - 150g; Neutrogena;O que é e para que serve?  Um Gel de Limpeza Facial de uso diário, penetra profundamente nos poros para eliminar impurezas e oleosidade, além de remover células mortas da superfície da pele. Suaviza a pele ajudando a prevenir ressecamento e irritações.  Benefícios e diferenciais:  -Limpeza profunda -Elimina impurezas e oleosidade -Remove células mortas da superfície da pele -Suaviza a pele: previne ressecamento e irritações -Dermatologicamente testado. Sem álcool, sem sabão, sem parabenos, sem óleo -Indicado para todos os tipos de pele  Como usar:  Aplique o produto sobre o rosto úmido e massageie até formar uma espuma cremosa. Enxágue com água em abundância. Para uso diário, pela manhã e à noite.  Precauções:  Apenas para uso externo. Não ingerir. Evite contato com os olhos. Caso isso aconteça, enxágue-os com água em abundância. Em caso de irritação ou alergia, descontinuar o uso e procurar orientação médica. Se houver ressecamento ou descamação, use o produto com menor frequência. Conservar fora do alcance de crianças em local seco e fresco. Recomenda-se o uso de protetor solar diariamente.;0
Hidratante Corporal Intensivo Neutrogena Norwegian sem Fragrância - 400ml; Neutrogena;O que é e para o que serve?  Loção Intensiva Corporal Hidratante, possui fórmula não oleosa e de rápida absorção. Com glicerina e aveia probiótica, hidrata profundamente formando uma camada protetora que repara a barreira cutânea e reequilibra a microbiota da pele.   Promove hidratação imediata e prolongada, minimizando o aspecto esbranquiçado e descamação causados pelo ressecamento excessivo.   Benefícios e diferenciais:  -Fórmula avançada com Aveia Prebiótica e Glicerina  -Tecnologia TRIPLELIP™ Reparadora: forma uma camada protetora que repara a barreira cutânea  -48 horas de hidratação: hidrata de forma imediata e prolongada  -Desenvolvido e recomendado por dermatologistas  -Fórmula não oleosa e de rápida absorção  -Respeita o pH natural da pele  -Hipoalergênico  -Indicado para a hidratação de todos os tipos de pele, até as mais secas, extras secas e sensíveis  -Dermatologicamente testado  -Para uso diário   Como Usar:  Espalhe a loção intensiva corporal hidratante por todo o corpo massageando suavemente até que seja absorvida pela pele. Dar especial atenção às áreas mais ressecadas como pernas, cotovelos e pés.   Precauções:  Uso externo. Não ingerir. Conservar fora do alcance das crianças, em local seco e fresco. Em caso de contato acidental com os olhos, enxaguar abundantemente. Havendo irritação ou alergia, suspenda o uso e procure por orientação médica.;0
Hidratante Corporal Neutrogena - Body Care Intensive Hidrata&Repara - 200ml; Neutrogena;NEUTROGENA® Body Care Intensive Hidrata&Repara possui fórmula leve, com ação desodorante e não oleosa, desenvolvida com alta concentração de glicerina e D-panthenol, ativo rico em vitamina B5.   Acelera a regeneração celular, restaurando a barreira da pele e melhorando seu condicionamento.Restaura a barreira protetora da pele desde a primeira aplicação, Textura ultra leve de absorção imediata, 48h Hidratação.  NEUTROGENA® Body Care Intensive Hidrata&Repara: Fórmula leve, com ação desodorante e não oleosa, desenvolvida com alta concentração de glicerina e D-panthenol, ativo rico em vitamina B5. Acelera a regeneração celular, restaurando a barreira da pele e melhorando seu condicionamento.  Loção deo hidratante que perfuma e desodoriza com segurança todos os tipos de pele. Tecnologia catiônica que oferece hidratação intensa de alta fixação adequada até para as peles mais delicadas.  Precauções:  Apenas para uso externo. Não ingerir. Conservar fora do alcance de crianças e em local fresco e seco. Descontinue seu uso se surgirem irritações na pele. Evitar contato direto com os olhos. Caso isso ocorra, enxágue-os com água em abundância. Em caso de ingestão acidental do produto, procure seu médico imediatamente.;0
Hidratante Facial Epidrat Calm Mantecorp Skincare - 40g; Mantecorp Skincare;"Epidrat Calm é um hidratante restaurador e calmante para peles sensíveis, intolerantes e sensibilizadas.   Formulado com o exclusivo complexo de ativos calmantes (Complexo Sens C )que agem no aumento da tolerabilidade e na minimização dos sinais (vermelhidão, descamação e ressecamento) e sintomas (coceira, pinicação, queimação, sensação de calor e repuxamento).  O hidratante facial Epidrat Calm promove conforto imediato para sensibilidade da pele causada por procedimentos dermatológicos, alterações climáticas, ou pele irritada após depilações, remoção da barba. O uso contínuo aumenta a resistência da pele a agentes externos.   Epidrat Calm atua ainda no alívio da sensação de desconforto causado pelo uso de produtos tópicos a base de ácidos e outros agentes sensibilizantes, como a variação de temperatura e pós procedimentos dermatológicos como peeling, laser e depilação. Sua composição protege a pele das agressões diárias, acalma e proporciona alívio. Mantêm o pH fisiológico da pele. O uso contínuo aumenta a resistência da pele a agentes externos. Testado em peles sensíveis, intolerantes e sensibilizadas.  Indicado: Peles sensíveis, intolerantes e sensibilizadas.  Benefícios: - Formulado com ativos calmantes que agem imediatamente - Melhora os sinais e os sintomas da pele irritada (vermelhidão, coceira, queimação, pinicação e descamação). - Hipoalergênico, sem fragrância, corantes ou conservantes - Não provoca cravos ou espinhas - Alivia o desconforto de queimaduras solares leves;  - Alta tolerância para pele sensível  Ativos: Exclusivo complexo Sens C.  Modo de Usar:  Aplique na pele limpa e seca duas vezes ao dia. Repita sempre que desejar ou a critério médico.";0
Hidratante Facial Neutrogena Face Care Antissinais Dia FPS 22 - 100g; Neutrogena;O que é e para que serve?  Um Antissinais Facial com Vitamina C, Colágeno e Niacinamida oferecem mais ciência para sua pele. Combate e previne linhas finas, uniformiza o tom, ajuda a firmar a pele e promove hidratação intensa com proteção solar contra raios UVA e UVB. Com textura leve e de fácil absorção, não deixa a pele oleosa.  Benefícios e diferenciais:  -Ação antissinais: combate e previne linhas finas -Uniformiza o tom e ajuda a firmar a pele -Hidratação intensa com proteção solar contra raios UVA e UVB -Toque seco: textura leve, oil free e de fácil absorção -Indicado para todos os tipos de pele  Como usar:  Com a pele limpa, aplique o produto sobre o rosto e pescoço e espalhe suavemente até a absorção completa. Indicado para uso diurno.  Composição:  -Niacinamida: Hidrata e fortalece a barreira cutânea estimulando a renovação celular, além de clarear sinais causados pelo sol.  -Vitamina C: Poderoso antioxidante, combate fatores externos de envelhecimento da pele enquanto ilumina e uniformiza o tom da pele.  Precauções:  Somente para uso externo. Uso Adulto. Não ingerir. Evite contato direto com os olhos. Caso isso aconteça enxaguar abundantemente. Se ocorrer irritação ou desconforto, descontinue o uso e consulte um médico. Mantenha fora do alcance das crianças. Conservar em local fresco, seco e ao abrigo da luz solar direta. Este produto não é um protetor solar.;22
Hidratante Facial Neutrogena Face Care Intensive 3 em 1 - 100g; Neutrogena;Neutrogena Face Care Intensive Hidratante Matte 3 em 1    Neutrogena Face Care Intensive Hidratante Matte 3 em 1 oferece 24 h de hidratação intensa com toque aveludado, efeito primer instantâneo e mattificante e contém tecnologia que reduz a oleosidade e controla o brilho por 8 h (o dia todo).  Combina hidratação com textura ultraleve, oil free e de fácil absorção, deixando toque seco na pele. Sua fórmula avançada combina D-pantenol, glicerina e arginina que oferece mais ciência para sua pele.- Hidratação intensa 24 horas - Tecnologia que reduz a oleosidade da pele - Efeito primer instantâneo - Oil free - Textura leve - Absorção imediata.    Precauções  Hidratação, redução de oleosidade e pré maquiagem.Somente para uso externo. USO ADULTO. Não ingerir. Evite contato direto com os olhos. Caso isso aconteça enxaguar abundantemente. Se ocorrer irritação ou desconforto, descontinue o uso e consulte um médico. Mantenha fora do alcance das crianças. Conservar em local fresco, seco e ao abrigo da luz solar direta.Aplicar com movimentos suaves sobre o rosto e pescoço previamente limpos.  Conservar em local fresco, seco ao abrigo da luz solar direta.;0
Hidratante Facial Neutrogena Face Care Intensive Antissinais Reparador - 100g; Neutrogena;O que é e para que serve?  Um Antissinais Facial com efeito duradouro e fórmula avançada, oferece mais ciência para sua pele com uma combinação de Vitamina C, Colágeno e Niacinamida. Restaura os danos diários durante a noite e previne linhas de expressão, uniformiza o tom, corrige marcas e ajuda a firmar a pele. Com textura leve e de fácil absorção, não deixa a pele oleosa.  Benefícios e diferenciais:  -Ação antissinais: combate e previne os principais sinais do envelhecimento -Uniformiza o tom e corrige marcas da pele -Hidratação intensa com toque seco -Textura leve, oil free e de absorção imediata -Indicado para todos os tipos de pele  Como usar:  Com a pele limpa, aplique o produto sobre o rosto e pescoço e espalhe suavemente até a absorção completa. Indicado para uso noturno.  Composição:  -Niacinamida: Hidrata e fortalece a barreira cutânea estimulando a renovação celular, além de clarear sinais causados pelo sol.  -Vitamina C: Poderoso antioxidante, combate fatores externos de envelhecimento da pele enquanto ilumina e uniformiza o tom da pele.  Precauções:  Somente para uso externo. Uso Adulto. Não ingerir. Evite contato direto com os olhos. Caso isso aconteça enxaguar abundantemente. Se ocorrer irritação ou desconforto, descontinue o uso e consulte um médico. Mantenha fora do alcance das crianças. Conservar em local fresco, seco e ao abrigo da luz solar direta.;0
Hidratante Facial Neutrogena Hydro Boost Water Gel - 50g; Neutrogena;O que é e para que serve? Um Hidratante Facial com Ácido Hialurônico que restabelece os níveis de água da pele ao longo do dia, estimula sua renovação, fortalecendo a barreira de proteção natural contra o ressecamento. Com exclusiva textura ultraleve gel de rápida absorção, hidrata por 48 horas controlando e reduzindo a oleosidade.  Benefícios e diferenciais: -48h de hidratação: preenche instantaneamente a pele com 2 vezes mais hidratação. -Com ácido hialurônico: restabelece os níveis de água na pele e estimula sua renovação, fortalecendo a barreira natural da pele. -Textura ultra leve water gel: controle da oleosidade. -Dermatologicamente testado e não comedogênico: não obstrui poros. -Ideal para todos os tipos de pele, inclusive peles oleosas.  Como Usar: Com a pele limpa, aplique o produto sobre o rosto e pescoço e espalhe suavemente até a absorção completa. Pode ser usado diariamente, pela manhã e/ou à noite. Pode ser aplicado antes da maquiagem. Para uma rotina de hidratação completa, combine com o Sérum Hidratante NeutrogenaHydro Boost.  Composição: -Ácido Hialurônico: Protege a barreira cutânea contra a perda de água, mantendo uma hidratação intensa e prolongada.   Precauções: Somente para uso externo. Não ingerir. Evite contato direto com os olhos. Caso isso aconteça enxaguar abundantemente. Se ocorrer irritação ou desconforto, descontinue o uso e consulte um médico. Conservar fora do alcance das crianças, em local fresco e seco. USO ADULTO.  Sobre a Marca: Neutrogena é uma empresa fundada em 1930 por Emanuel Stolarof, especializada em produtos dermatológicos para cuidados com a pele que, desde 1996, passou a ser comercializada no Brasil através da Johnson & Johnson Brasil. Seus dermocosméticos atendem a diversos públicos, tratando intensamente desde a hidratação da pele até os cuidados com o sol.;0
Lenço Demaquilante NeutrogenaDeep Clean - 1 Un; Neutrogena;O Pacote de Lenços contém 25 unidades.   O que é e para que serve?  Lenços Demaquilantes que limpam profundamente removendo impurezas, oleosidade e maquiagem, inclusive à prova d'água, deixando uma sensação refrescante na pele.   Com textura ultra macia, podem ser usados até para a área delicada dos olhos.   Benefícios e diferenciais:  -Limpa profundamente removendo impurezas da pele -Remove a maquiagem com apenas 1 lenço -Sensação refrescante na pele após o uso -Hidratação por 24 horas -Oil free: não deixa resíduos oleosos -Hipoalergênico, oftalmológica e dermatologicamente testado  Como usar:  Com movimentos suaves, passe o lenço de limpeza sobre a pele do rosto e área dos olhos. Não é necessário enxaguar. Para evitar o ressecamento do produto, mantenha o lacre adesivo da embalagem fechado.  Precauções:  Uso externo.  Não aplicar sobre a pele lesada ou irritada.  Em caso de irritação ou alergia, suspenda o uso.  Conserve fora do alcance das crianças, em local fresco e seco.  Sobre a Marca: Neutrogena é uma empresa fundada em 1930 por Emanuel Stolarof, especializada em produtos dermatológicos para cuidados com a pele que, desde 1996, passou a ser comercializada no Brasil através da Johnson & Johnson Brasil. Seus dermocosméticos atendem a diversos públicos, tratando intensamente desde a hidratação da pele até os cuidados com o sol.;0
Loção intensiva Corporal Hidratante Neutrogena Norwegian Formula - 400ml; Neutrogena;Loção intensiva Corporal Hidratantecom fórmula não oleosa e de rápida absorção. Com glicerina e aveia prebiótica, hidrata profundamente formando uma camada protetora que repara a barreira cutânea e reequilibra a microbiota da pele. Promove hidratação imediata e prolongada por até 48 horas, deixando a pele macia, nutrida e protegida contra o ressecamento e agressores externos.   Benefícios e diferenciais: -Fórmula avançada com Aveia Prebiótica e Glicerina   -Tecnologia TRIPLELIP™ Reparadora: forma uma camada protetora que repara a barreira cutânea   -48 horas de hidratação: hidrata de forma imediata e prolongada   -Desenvolvido e recomendado por dermatologistas   -Fórmula não oleosa e de rápida absorção   -Respeita o ph natural da pele   -Hipoalergênico   -Indicado para a hidratação de todos os tipos de peles, até as mais secas e extrassecas   -Fragrância suave   -Dermatologicamente testado   -Para uso diário   Como usar: Espalhe a loção intensiva corporal hidratante por todo o corpo massageando suavemente até que seja absorvida pela pele. Dar especial atenção às áreas mais ressecadas como pernas, cotovelos e pés.    Precauções: Apenas para uso externo. Não ingerir. Conservar fora do alcance das crianças, em local fresco e seco. Em caso de contato acidental com os olhos, enxaguar abundantemente. Havendo irritação ou alergia, suspenda o uso e procure por orientação médica.;0
NIVEA SUN Protetor Solar Facial Tripla Proteção Loção Antiacne FPS50 - 40ml; Nivea;O que é?  O novo Protetor Solar Facial Tripla Proteção Loção Antiacne tem fórmula ultraleve e muito alta proteção solar. FPS 50 tem combate triplo contra raios UVA/UVB, radicais livres causados pela poluição e luz visível. Promove efeito matte por 8 horas.   Para que serve NIVEA Sun Facial Tripla Proteção Loção Antiacne FPS 50?  Cuidado intensivo diário de triplo combate contra: Raios UVA / UVB. Radicais livres causados pela luz visível. Poluição. Textura ultraleve, controla a oleosidade e garante Efeito Matte por 8 horas. Adequado para pele com tendência a acne. Fórmula com sal do himalaia. Ajuda a prevenir a produção de oleosidade excessiva da pele. Não interfere na duração da maquiagem. Dermatologicamente testado.   Benefícios e diferenciais:  - FPS 50 e textura ultraleve de absorção imediata - Protege da luz visível e dos radicais livres causados pela poluição - Fórmula com sal do himalaia - Ajuda a prevenir a produção de oleosidade excessiva da pele - Efeito matte por 8h - Adequado para a pele com tendência a acne - Não interfere na duração da maquiagem   Como usar o NIVEA Sun Facial Tripla Proteção Loção Antiacne FPS 50?  Agite antes de usar. Aplique abundantemente antes da exposição ao sol. Reaplique o produto a cada 2hrs ou depois de transpiração excessiva ou mergulho na água.   Dica :  Oferece muito alta proteção contra queimaduras solares e é indicado para pele extremamente sensível à queimadura solar.   Cuidado :  Filtros solares em contato com o tecido podem causar manchas.  Uma unidade contém 40ml.;50
NIVEA Sun Protetor Solar Tripla Proteção Antissinais Fps 65 - 40ml; Nivea;Nivea Sun Protetor Tripla Proteção Antissinais Fps 65 40ml.   O que é?  O novo Protetor Solar Tripla Proteção Fluido Antissinais tem Fórmula ultraleve e muito alta proteção solar. FPS 65 protege dos raios UVA/UVB, combate radicais livres causados pela poluição, ainda uniformiza a pele e reduz linhas finas.  Para que serve o NIVEA Sun Facial Tripla Proteção Fluido Antissinais FPS 65?  Cuidado intensivo diário de triplo combate contra: Raios UVA / UVB. Radicais livres causados pela luz visível. Poluição. Garante efeito de pele renovada em 4 semanas. Reduz rugas e linhas de expressão, mesmo na área dos olhos. Aumenta a produção de colágeno. Textura ultraleve, fórmula com algas marinhas e não interfere na duração da maquiagem.  Benefícios e diferenciais:  - FPS 65 Alta Proteção Solar - Fórmula com algas marinhas - Textura ultraleve - Garante efeito de pele renovada em 4 semanas - Aumenta a produção de colágeno - Não interfere na duração da maquiagem - Extra resistência à água e ao suor - Reduz rugas e linhas de expressão, mesmo na área dos olhos  Como usar o NIVEA Sun Facial Tripla Proteção Fluido Antissinais FPS 65?  Agite antes de usar. Aplique abundantemente antes da exposição ao sol. Reaplique o produto a cada 2hrs ou depois de transpiração excessiva ou mergulho na água.  Dica:  Oferece muito alta proteção contra queimaduras solares e é indicado para pele extremamente sensível à queimadura solar.  Cuidado:  Filtros solares em contato com o tecido podem causar manchas.  Uma unidade contém 40ml.;65
Neutrogena Deep Clean Esfoliante Energizing - 100g; Neutrogena;O que é e para que serve?  Um Gel de Limpeza com microesferas que esfoliam a pele de forma suave e removem as células mortas. Indicado para uso diário, não danifica a pele garantindo resultados constantes.  Benefícios e diferenciais:  -Remove impurezas, células mortas e oleosidade -Microesferas que esfoliam gentilmente a pele  -Sensação refrescante e revitalizante na pele -Indicado para uso diário  Como usar:  Aplique o produto sobre o rosto úmido, massageando em movimentos circulares.  Enxágue com água em abundância.  Para uso diário.  Precauções:  Apenas para uso externo. Não ingerir. Evite contato com os olhos. Caso isso aconteça, enxágue-os com água em abundância. Se houver ressecamento ou descamação use o produto com menor frequência. Em caso de irritação, descontinuar o uso e procurar orientação médica. Conservar fora do alcance das crianças em local seco e fresco.;0
