prod-descr;prod-marca;prod-detalhe;prod_fps
 Alva  Protetor Natural Stick FPS 45 - Sem Cor 16g - Sun ; Alva ;Nosso protetor solar físico sem cor é formulado com óxido de zinco, oferecendo proteção natural contra os raios UV e UVA. Ele contém uma formulação única com ingredientes multifuncionais, como:- Esqualano: Auxilia na retenção de água da pele enquanto controla a oleosidade.- Óleo de jojoba: Fortalece a barreira protetora da pele, reduz o estresse oxidativo das células e estimula a produção de colágeno.Nosso protetor solar é vegano e 100% mineral. Com toque sequinho, se adapta facilmente a todos os tipos de pele, inclusive as oleosas e acneicas,sem deixar resíduos esbranquiçados na pele.;45
 Anasol  FPS 50 - Protetor Solar Facial 60g ; Anasol ;Protetor solar facial para todos os tipos de pele. Com efeito matte e toque seco, Anasol Protetor Solar oferece alta proteção solar.O Protetor Solar Anasol conta com a ação hidratante da aloe vera associada ao poder antioxidante da vitamina E. Além disso, possui argila que reduz a oleosidade da peleA fórmula ajuda a prevenir queimaduras solares causadas por raios UVB, assim como manchas e rugas causadas por raios UVA. Aumenta a proteção da pele 50 vezes e é indicado para pele muito sensível a queimaduras solares. ;50
 Anasol  FPS 70 - Protetor Solar Facial 60g ; Anasol ;Protetor solar facial para todos os tipos de pele. Com fórmula oil free de toque seco, Anasol FPS 70 oferece alta proteção com rápida absorção.O Protetor Solar Anasol FPS 70 ajuda a prevenir queimaduras solares causadas por raios UVB, assim como manchas e rugas causadas por raios UVA.Contém argila que reduz a oleosidade da pele e ação hidratante da aloe vera associada às vitaminas E e B5, que neutralizam os radicais livres. É indicado para pele extremamente sensível a queimaduras solares. ;70
 Anasol  Multifunção FPS 60 Base Média - Protetor Solar com Cor 60g ; Anasol ;Protetor solar facial com cor. Anasol Multifunção FPS60 mantém o rosto hidratado e protegido contra os raios ultravioletas e luz visível. Protetor Solar Anasol Multifunção FPS60 uniformiza, possui ação clareadora e não obstrui os poros graças à sua fórmula oil free. Hipoalergênico, ele não causa irritações ou alergias na pele, e é perfeito para otimizar a rotina de quem tem a vida agitada, pois ele funciona como uma base de maquiagem. Assim, você fica com a pele sem imperfeições e ainda cria o hábito de passar filtro solar todos os dias no rosto. ;60
 Australian Gold  Antipoluição FPS 30 - Protetor Solar Facial 50g ; Australian Gold ;Protetor solar facial para todos os tipos de pele, com acabamento matte. Australian Gold Antipoluição FPS 30 promove alta proteção contra poluição, raios UVA/UVB e envelhecimento precoce do rosto.O Protetor Solar Facial Australian Gold Antipoluição FPS 30 apresenta a textura gel-creme, que é leve e de rápida absorção. Fórmula enriquecida com chá-verde e ameixa Kakadu, oil-free e resistente à água, indicada para pele muitos sensíveis à queimadura solar. Produto vegano, dermatologicamente testado, sem parabenos e oxibenzona.;30
 Australian Gold  Antipoluição FPS 50 - Protetor Solar Facial 50g ; Australian Gold ;Protetor solar facial para todos os tipos de pele. Com acabamento matte, Australian Gold Antipoluição FPS 50 garante ação antipoluição, antienvelhecimento e alta proteção contra os raios UVA/UVB.O Protetor Solar Facial Australian Gold Antipoluição FPS 50 traz toque seco ao rosto, graças a textura leve, oil free e de rápida absorção. Formulado com chá-verde e ameixa Kakadu, não obstrui os poros e entrega proteção com saúde a sua pele. Produto vegano, dermatologicamente testado, sem parabenos e oxibenzona.;50
 Australian Gold  FPS 60 Cor 01 - Protetor Solar com Cor 40g ; Australian Gold ;Protetor solar facial com cor para todos os tipos de pele. Australian Gold FPS 60 garante alta proteção, efeito matte e cobertura natural.O Protetor Solar Australian Gold FPS 60 conta com fórmula gel-creme ultraleve que não obstrui os poros. Oferece diversos benefícios, como ação antioleosidade, antipoluição e antienvelhecimento e proteção eficaz UVA + UVB + luz visível.;60
 Australian Gold  FPS 60 Cor 02 - Protetor Solar com Cor 40g ; Australian Gold ;Protetor solar facial com cor para todos os tipos de pele. Australian Gold FPS 60 garante alta proteção, efeito matte e cobertura natural.O Protetor Solar Australian Gold FPS 60 conta com fórmula gel-creme ultraleve que não obstrui os poros. Oferece diversos benefícios, como ação antioleosidade, antipoluição e antienvelhecimento e proteção eficaz UVA + UVB + luz visível.;60
 Australian Gold  FPS 60 Cor 03 - Protetor Solar com Cor 40g ; Australian Gold ;Protetor solar facial com cor para todos os tipos de pele. Australian Gold FPS 60 garante alta proteção, efeito matte e cobertura natural.O Protetor Solar Australian Gold FPS 60 conta com fórmula gel-creme ultraleve que não obstrui os poros. Oferece diversos benefícios, como ação antioleosidade, antipoluição e antienvelhecimento e proteção eficaz UVA + UVB + luz visível.;60
 Avène  Mat Perfect FPS 30 - Protetor Solar com Cor 40g ; Avène ;Protetor solar facial com cor para peles sensíveis, de mistas a oleosas. Avène Mat Perfect FPS 30 matifica e uniformiza o tom do rosto, além de oferecer alta proteção contra os raios UVA e UVB.O Protetor Solar com Cor Avène Mat Perfect FPS 30 conta com textura oil-free que promove rápida absorção e toque seco. Com formulação exclusiva e poderosa - que apresenta Pré-Vitamina E e Pré-Vitamina C entre suas grandes estrelas, o produto também disfarça as imperfeições, promove ação antioxidante e hidrata profundamente.;30
 Avène  Mat Perfect FPS 60 - Protetor Solar com Cor 40g ; Avène ;Protetor solar facial com cor, para peles sensíveis mistas a oleosas. Avène Mat Perfect Fluido com Cor FPS 60, ação matificante por 12 horas e uniformiza o tom da pele.O Protetor Solar Avène Mat Perfect Fluido com Cor FPS 60 possui textura oil-free de toque seco que o torna super confortável de usar. Além disso, traz uma tecnologia que absorve 3x mais rápido a oleosidade e 16x mais rápido o suor.Além de contar com um blend de pigmentos com alto poder de cobertura das irregularidades da pele e dos poros, esse protetor Avène possui uma fórmula rica em Pré-tocoferil, um potente antioxidante que age em sinergia com o Ascorbil Glucosídeo, precursor da vitamina C, para uma proteção reforçada contra os radicais livres.;60
 Avène  Mat Perfect Fluido Antiacne FPS 60 - Protetor Solar Facial 40g ; Avène ;Protetor solar facial para peles oleosas a acneicas. Avène Mat Perfect Fluido Antiacne conta com alta proteção solar e textura oil-free.O Protetor Solar Facial Avène Mat Perfect Fluido Antiacne possui rápida absorção, resistência à agua e proteção contra radicais livres. Sua fórmula absorve a oleosidade excessiva e mantém a pele sem brilho por até 12h, enquanto protege dos raios UVA e UVB: um protetor solar facial ideal para peles oleosas a acneicas. Sua composição ainda é eco-friendly, já que é livre de Silicones, Octocrileno, Octil Salicilato e Benzofenona, ativos que causam impactos nos corais marinhos e fitoplânctons.Inicie sua rotina de skincare com o Gel de Limpeza Facial Cleanance, de Avène. ;60
 Avène  Mat Perfect Fluido Clareador FPS70 Claro - Protetor Solar Facial com Cor 40g ; Avène ;Protetor solar facial para peles sensíveis, mistas a oleosas e com hiperpigmentações. Avène Mat Perfect Fluido Clareador FPS 70 ajuda a uniformizar manchas com prevenção e ação clareadora, além de alta proteção contra os raios UVB, UVA e matificação da aparência por até 12 horas.Desenvolvido especialmente para a pele brasileira, o Protetor Solar Avène Mat Perfect Fluido Clareador FPS 70 traz um poderoso Complexo Clareador e antioxidante, HMC + Dextran, enriquecido com vitamina E, que garante um efeito uniformizador enquanto proteger contra o rosto dos radicais livres. Com pigmentos corretivos presentes na fórmula, sua cobertura promove tom homogêneo com o toque aveludado e natural. Não contém álcool, parabenos, fragrância e corantes.;70
 Avène  Mat Perfect Fluido Clareador FPS70 Médio - Protetor Solar Facial com Cor 40g ; Avène ;Protetor solar facial para peles sensíveis, mistas a oleosas e com hiperpigmentações. Avène Mat Perfect Fluido Clareador FPS 70 ajuda a uniformizar manchas com prevenção e ação clareadora, além de alta proteção contra os raios UVB, UVA e matificação da aparência por até 12 horas.Desenvolvido especialmente para a pele brasileira, o Protetor Solar Avène Mat Perfect Fluido Clareador FPS 70 traz um poderoso Complexo Clareador e antioxidante, HMC + Dextran, enriquecido com vitamina E, que garante um efeito uniformizador enquanto proteger contra o rosto dos radicais livres. Com pigmentos corretivos presentes na fórmula, sua cobertura promove tom homogêneo com o toque aveludado e natural. Não contém álcool, parabenos, fragrância e corantes.;70
 Avène  Mat Perfect Fluido Ultra Mate FPS 60 - Protetor Solar 40g ; Avène ;          Protetor solar para peles oleosas. Com vitamina C, Avène Mat Perfect Fluido Ultra Mate FPS 60 combate os radicais livres enquanto protege dos raios UV.                    Protetor Solar Avène Mat Perfect Fluido Ultra Mate FPS 60 apresenta fórmula de textura ultra confortável, oil-free e com toque seco, que garante 12 horas de efeito matificante. Além disso, ajuda a prevenir os principais danos associados ao fotoenvelhecimento como manchas, rugas e flacidez.          ;60
 Beyoung  Essential Oil Control FPS 30 - Protetor Solar Facial 40g ; Beyoung ;Protetor solar facial para pele mista, oleosa e acneica. Beyoung Essential Oil Control FPS 30 controla a oleosidade excessiva, com ação antioxidante e efeito matte.O Protetor Solar Beyoung Essential Oil Control FPS 30 conta com efeito matte e toque seco, controla e trata a oleosidade da pele, reduz o brilho e poros e tem ação antioxidante, prevenindo contra o envelhecimento cutâneo.Sua fórmula com tecnologia 360º de proteção urbana protege contra raios UVA, UVB, luz azul, luz visível, infravermelho e antipoluição. Possui ativos que equilibram a microbiota e protegem a barreira cutânea, fortalecendo as defesas naturais da pele. Sua textura agradável é uma loção fluida, de rápida absorção e fácil de espalhar.Não deixa resíduos brancos e pode ser usado antes da maquiagem. Não comedogênico e não acnegênico.;30
 Beyoung  KIT BEYOUNG SKINCARE ANTIOXIDANTE - VITA C 18 30ML - GENTLE CLEANSER 90G - ESSENTIAL OIL CONTROL FPS 30 40G ; Beyoung ;Rotina potente e funcional com ação antioxidante.Prefere rotinas de skincare simples e rápidas, mas que funcionam de verdade? Então, essa aqui é para você!Em apenas três passos você vai conquistar: limpeza profunda, tratamento com ação antioxidante e proteção.Vita C 18 30ml: Se?rum com tripla ac?a?o antioxidante que previne o envelhecimento, reduz linhas finas e deixa sua pele mais uniforme, macia e iluminada.Gentle Cleanser 90g: Gel de limpeza suave multifuncional: limpa profundamente, sem ressecar ou agredir a barreira natural de proteção da pele. Tipos de pele: sensíveis, normais e secas.Essential Oil Control FPS 30 40g: Protetor solar com toque seco e efeito matte imediato que controla e trata a oleosidade. Tem textura fluída, rápida absorção e fácil de espalhar.;30
 Beyoung  KIT BEYOUNG TRATAMENTO CLAREADOR DE MANCHAS - CLARIFY TONE 30ML - GENTLE CLEANSER 90G - ESSENTIAL OIL CONTROL FPS 30 40G ; Beyoung ;Chega de deixar as manchas roubarem a sua autoestima! Com essa rotina você tem clareamento contínuo de manchas, uma pele mais uniforme e iluminada após 7 dias de uso e resultados comprovados contra manchas de acne, melasma e muito mais. Leve Limpeza + Tratamento + Proteção para potencializar os seus efeitos!Clarify Tone 30ml: Sérum clareador mais potente do mercado: 5 ativos clareadores e resultados a partir de 7 dias.Gentle Cleanser 90g: Gel de limpeza suave multifuncional: limpa profundamente, sem ressecar ou agredir a barreira natural de proteção da pele. Tipos de pele: sensíveis, normais e secas.Essential Oil Control FPS 30 40g: Protetor solar com toque seco e efeito matte imediato que controla e trata a oleosidade. Tem textura fluída, rápida absorção e fácil de espalhar.;30
 Bioderma  Photoderm Antioleosidade FPS 70 - Protetor Solar Facial 40g ; Bioderma ;Protetor solar facial para peles mistas, oleosas e com tendência à acne. Bioderma Photoderm Antioleosidade FPS 70 oferece alta proteção solar com controle da oleosidade.O Protetor Solar Facial Bioderma Photoderm Antioleosidade FPS 70 conta com textura ultra seca e efeito matte imediato, com fórmula desenvolvida na França exclusivamente para a pele brasileira. Garante controle da oleosidade por 8h e sensação de pele fresca e limpa. Formulado com a exclusiva Tecnologia Fluidactiv, ajuda a prevenir o aparecimento da acne e Sun Active Defense, com ativos antioxidantes. É resistente à água e ao suor. *Tolerância ocular. Testado sob supervisão dermatológica. Não comedogênico (não causa acne). Fotoestável. ;70
 Bioderma  Photoderm Antioleosidade Neutro FPS30 - Protetor Solar Facial 40g ; Bioderma ;Protetor solar facial. Bioderma Photoderm Antioleosidade FPS 30 reduz a oleosidade por até 8 horas, ajudando a prevenir o aparecimento de acnes, promove acabamento invisível na pele, garantinho sensação de pele fresca e limpa.O Protetor Solar Facial Bioderma Photoderm Antioleosidade FPS 30 possui toque seco, proteção UVA/UVB, é antioxidante e resistente a água. Confere acabamento com 90% com efeito matte e -82% de poros dilatados.Dermatologicamente testado. Não comedogênico. Fotoestável.;30
 Bioderma  Photoderm Cover Touch FPS 50+ 2.0 - Protetor Solar Facial 40ml ; Bioderma ;Protetor solar facial com cor e acabamento matte para pele oleosa. Bioderma Photoderm Cover Touch Mineral FPS 50+ cobertura total que previne os danos causados pelos raios UVA e UVB, além de proteger o rosto das agressões da luz visível.O Protetor Soltar Bioderma Photoderm Cover Touch FPS 50+ auxilia no controle da oleosidade e apresenta textura revolucionária com pigmentos que se espalham com facilidade na pele, para uma cobertura total que não obstrui os poros, não craquela e não acumula em linhas de expressão, além de uniformizar o tom da pele com alta cobertura e durabilidade. Além disso, deixa a pele respirar livremente, proporciona aparência livre de imperfeições, efeito matificado, sem brilho por até 8 horas.Sua fórmula contém pigmentos e filtros 100% minerais e físicos, além do exclusivo Fluidactiv®, que assegura alta proteção de agressões externas enquanto previne o surgimento de cravos e espinhas. Sua ação de também é resistente à água e ao suor, não transfere e confere aparência sequinha.*Nova embalagem, com mesma fórmula. Você poderá receber o produto com a embalagem antiga enquanto durarem os estoques.;50
 Bioderma  Photoderm Cover Touch Mineral FPS50+ 1.0 - Protetor Solar Facial com Cor 40g ; Bioderma ;Protetor solar facial com cor e acabamento matte para pele oleosa. Bioderma Photoderm Cover Touch Mineral FPS 50+ cobertura total que previne os danos causados pelos raios UVA e UVB, além de proteger o rosto das agressões da luz visível.O Protetor Soltar Bioderma Photoderm Cover Touch FPS 50+ auxilia no controle da oleosidade e apresenta textura revolucionária com pigmentos que se espalham com facilidade na pele, para uma cobertura total que não obstrui os poros, não craquela e não acumula em linhas de expressão, além de uniformizar o tom da pele com alta cobertura e durabilidade. Além disso, deixa a pele respirar livremente, proporciona aparência livre de imperfeições, efeito matificado, sem brilho por até 8 horas.Sua fórmula contém pigmentos e filtros 100% minerais e físicos, além do exclusivo Fluidactiv®, que assegura alta proteção de agressões externas enquanto previne o surgimento de cravos e espinhas. Sua ação de também é resistente à água e ao suor, não transfere e confere aparência sequinha.*Nova embalagem, com mesma fórmula. Você poderá receber o produto com a embalagem antiga enquanto durarem os estoques.;50
 Bioderma  Photoderm M Foncee FPS50+ 2.0 - Protetor Solar Facial com Cor 40ml ; Bioderma ;Protetor solar com cor para todos os tipos de pele. Bioderma Photoderm M FPS50+ ajuda a proteger o rosto com ação uniformizadora do tom, além de matificar. Com alta concentração de pigmentos para camuflar marcas escuras de maneira eficiente.O Protetor Solar Facial Bioderma Photoderm M FPS50+ apresenta fórmula enriquecida com o ativo uniformizador, a Glabridina, além de poder de filtrar 66% da luz azul visível emitida por fontes naturais e artificiais, como aparelhos digitais, para combater o aparecimento e a recorrência de marcas escuras na pele.Sua textura com toque seco de alta cobertura traz efeito matte e acabamento natural, como base, para uma aparência ainda mais bonita e saudável no dia a dia. Não comedogênico. Fotoestável.;50
 Bioderma  Photoderm M Foncee FPS50+ 3.0 - Protetor Solar Facial com Cor 40ml ; Bioderma ;Protetor solar com cor para todos os tipos de pele. Bioderma Photoderm M FPS50+ ajuda a proteger o rosto com ação uniformizadora do tom, além de matificar. Com alta concentração de pigmentos para camuflar marcas escuras de maneira eficiente.O Protetor Solar Facial Bioderma Photoderm M FPS50+ apresenta fórmula enriquecida com o ativo uniformizador, a Glabridina, além de poder de filtrar 66% da luz azul visível emitida por fontes naturais e artificiais, como aparelhos digitais, para combater o aparecimento e a recorrência de marcas escuras na pele.Sua textura com toque seco de alta cobertura traz efeito matte e acabamento natural, como base, para uma aparência ainda mais bonita e saudável no dia a dia. Não comedogênico. Fotoestável.;50
 Bioderma  Photoderm M Foncee FPS50+ 4.0 - Protetor Solar Facial com Cor 40ml ; Bioderma ;Protetor solar com cor para todos os tipos de pele. Bioderma Photoderm M FPS50+ ajuda a proteger o rosto com ação uniformizadora do tom, além de matificar. Com alta concentração de pigmentos para camuflar marcas escuras de maneira eficiente.O Protetor Solar Facial Bioderma Photoderm M FPS50+ apresenta fórmula enriquecida com o ativo uniformizador, a Glabridina, além de poder de filtrar 66% da luz azul visível emitida por fontes naturais e artificiais, como aparelhos digitais, para combater o aparecimento e a recorrência de marcas escuras na pele.Sua textura com toque seco de alta cobertura traz efeito matte e acabamento natural, como base, para uma aparência ainda mais bonita e saudável no dia a dia. Não comedogênico. Fotoestável.;50
 Bioderma  Photoderm Nude Touch FPS 50+ 1.0 - Protetor Solar Facial com Cor 40ml ; Bioderma ;Protetor solar mineral com cor para peles oleosas. Bioderma Photoderm Nude TouchFPS 50+ protege com cobertura uniforme, natural e iluminada. Sua proteção UVA / UVB 100% física e mineral por até 8 horas. O Protetor Solar Facial com Cor Bioderma Photoderm Nude TouchFPS 50+ ajuda a disfarçar as marcas e prevenir novos cravos e espinhas. Gradativamente, também reduz a oleosidade da região através da patente Fluidactiv™, suaviza a textura cutânea com a ação do Ácido Salicílico. Apresenta textura leve e fórmula bifásica exclusiva é resistente à água e ao suor, que quando agitada proporciona espalhabilidade ideal.;50
 Bioderma  Photoderm Nude Touch FPS 50+ 2.0 - Protetor Solar Facial com Cor 40ml ; Bioderma ;Protetor solar mineral com cor para peles oleosas. Bioderma Photoderm Nude TouchFPS 50+ protege com cobertura uniforme, natural e iluminada. Sua proteção UVA / UVB 100% física e mineral por até 8 horas. O Protetor Solar Facial com Cor Bioderma Photoderm Nude TouchFPS 50+ ajuda a disfarçar as marcas e prevenir novos cravos e espinhas. Gradativamente, também reduz a oleosidade da região através da patente Fluidactiv™, suaviza a textura cutânea com a ação do Ácido Salicílico. Apresenta textura leve e fórmula bifásica exclusiva é resistente à água e ao suor, que quando agitada proporciona espalhabilidade ideal.;50
 Bioré  Aqua Rich Watery Essence FPS 50 - Protetor Solar Facial e Corporal 70g ; Bioré ;Protetor solar facial e corporal. Bioré Aqua Rich Watery Essence FPS 50 possui textura ultraleve, oferecendo alta proteção UVA e UVB, sem deixar a pele pegajosa após o uso.O Protetor Solar Facial e Corporal Bioré Aqua Rich Watery Essence FPS 50 conta com ativos como o Ácido Hialurônico e Extrato de Geleia Real, que atuam como agentes hidratantes. Sua fórmula gel aquosa promove sensação confortável e indicada para todos os tipos de pele, contém hialuronato de sódio e microcápsulas de água, conferindo capacidade de reter a água encontrada naturalmente na pele, por isso é um protetor rico em hidratação, leve e refrescante como água.Nova embalagem, mesma fórmula.;50
 Bioré  UV Aqua Rich Aqua Protect Lotion FPS50 - Protetor Solar 70ml ; Bioré ;Protetor solar facial e corporal. Bioré UV Aqua Rich Aqua Protect Lotion, fórmula ideal para peles muito sensíveis à queimadura solar. O Protetor Solar Bioré UV Aqua Rich Aqua Protect Lotion  espalha facilmente como água e forma um filme fino de proteção UV de rápida absorção. Ele é composto por cápsulas de água feitas de ágar-ágar, que contém filtros químico UV, derretem e aderem rapidamente à pele, cobrindo-a uniformemente, sem deixar resíduos brancos.Com ingredientes hidratantes como Ácido Hialurônico, Extrato de Geleia Real e Glicerina, ele deixa a pele super hidratada. Além disso, pode ser usado com a maquiagem e possui fórmula não comedogênica.;50
 Bioré  UV Athlizm Skin Protect Essence FPS50 - Protetor Solar 70g ; Bioré ;Protetor solar facial e corporal. Bioré UV Athlizm Skin Protect Essence FPS50 possui uma textura ultraleve que espalha suavemente sobre a pele.O Protetor Solar Bioré UV Athlizm Skin Protect Essence FPS50  é ideal para quem é muito sensível a queimadura solar. Sua fórmula super resistente à água conta com até 80 minutos de duração. Formulado com Hialuronato de Sódio, Extrato de Geleia Real e ingredientes umectantes, conta com ação hidratante.Ele é rapidamente absorvido, ao mesmo tempo que confere à pele excelente proteção contra os raios UVA e UVB. Pode ser usado com maquiagem e sua fórmula é não comedogênica, então previne a formação de acne.;50
 Bioré  UV Perfect Milk FPS 50 - Protetor Solar 40ml ; Bioré ;Protetor solar facial e corporal para todos os tipos de pele. Bioré Perfect Milk possui alta proteção contra os raios solares e é resistente à água e à transpiração. De rápida absorção e textura leve, Protetor Solar Bioré Perfect Milk FPS 50 proporciona sensação macia e confortável no corpo durante e após a aplicação. Com proteção UVA e UVB, mantém a pele saudável e livre de envelhecimento precoce.Além disso, Bioré UV Perfect Milk se adapta facilmente à pele das brasileiras, já que possui toque seco e não deixa sensação pegajosa. ;50
 Cetaphil  Sun Antioxidante FPS 60 - Protetor Solar Facial 50ml ; Cetaphil ;Protetor solar facial para todos os tipos de pele. Cetaphil Sun Antioxidante FPS 60protege intensamente dos raios UV e infravermelho, e previne o envelhecimento precoce.O Protetor Solar Cetaphil Sun Antioxidante FPS 60 traz alta tecnologia antioxidante que auxilia na prevenção do envelhecimento precoce. Sua fórmula com vitaminas C e E, e o Complexo Celligent® combate os radicais livres, além de proteger a pele contra partículas de poluição. Possui textura fluida e leve, garantindo rápida absorção. *Nova embalagem. Você poderá receber o produto com a embalagem antiga enquanto durarem os estoques.;60
 Cicatricure  Antissinais - Protetor Solar FPS 50 40g ; Cicatricure ;"Protetor Solar Antissinais Cicatricure de FPS 50 para todos os tipos de pele. Protege da exposição solar e ajuda a prevenir os sinais visíveis do fotoenvelhecimento.O Protetor Solar Antissinais Cicatricure pode ser usado diariamente, possui em sua fórmula partículas absorvedoras de oleosidade, dando um toque seco e matte instantaneamente na pele. Enriquecido com Ácido Hialurônico e Pró-Colágeno, mantém a pele hidratada e sedosa enquanto protege contra o envelhecimento precoce, como rugas e linhas de expressão; manchas solares e queimaduras. É resistente à água e ao suor. Testado dermatologicamente.";50
