prod-descr;prod-;prod-comentario;prod-aval;analise_sentimento;sentimento;acuracidade
 Mantecorp  Epsiol Smart Color FPS 50 - Protetor Solar Facial com Cor 40ml ; Mantecorp ;produto bom. primeiro textura branca cor, entrar contato pele assume tonalidade precisa. usar sozinho achei perfeito precisa fazer make craquela. aceita camadas.;3.3;{'label': '4 stars', 'score': 0.536038339138031};positivo;0.536038339138031
 Mantecorp  Epsiol Smart Color FPS 50 - Protetor Solar Facial com Cor 40ml ; Mantecorp ;produto horrível! transfere demais, deixou pele oleosa cor adequou.;3.3;{'label': '1 star', 'score': 0.9664839506149292};negativo;0.9664839506149292
 Latika  Sun Stick FPS50 - Protetor Solar Facial 20g ; Latika ;extremamente oleoso.;3.3;{'label': '2 stars', 'score': 0.5009723901748657};negativo;0.5009723901748657
NIVEA SUN Protetor Solar Fluido Facial Tripla Proteção Controle de Oleosidade FPS 65 40ml;Beiersdorf;cliente amazon paguei pra ver infelizmente vi vi comentários negativos decidi comprar mesma forma, achei alguns exagerados, infelizmente mentindo. produto cumpre oq promete, pele fica extremamente oleosa, demora muuuito pra secar... verdade rosto uns 5 minutos ainda secou, tô perguntando algum momento vai secar. textura incomodou, acho única coisa positiva. biquinho sai protetor folgado fica vazando, seja, pra levar bolsa consegue. tudo aqui comentários ignorei, aconselho façam mesmo. 14;3.3;{'label': '1 star', 'score': 0.5390085577964783};negativo;0.5390085577964783
NIVEA SUN Protetor Solar Fluido Facial Tripla Proteção Controle de Oleosidade FPS 65 40ml;Beiersdorf;"cliente amazon brilha muito. produto promete mate, controlar brilho, além fazer isso, testura brilhosa, forma desconfortável. fórmula fluida, ""seca"" nunca, pele fica aparência oleosa tipo todo. pena, pq cheiro agradável, fluidez facilita aplicação, porém entrega promete. comprarei novamente. 15";3.3;{'label': '2 stars', 'score': 0.3928808569908142};negativo;0.3928808569908142
NIVEA SUN Protetor Solar Fluido Facial Tripla Proteção Controle de Oleosidade FPS 65 40ml;Beiersdorf;cliente amazon paguei pra ver infelizmente vi vi comentários negativos decidi comprar mesma forma, achei alguns exagerados, infelizmente mentindo. produto cumpre oq promete, pele fica extremamente oleosa, demora muuuito pra secar... verdade rosto uns 5 minutos ainda secou, tô perguntando algum momento vai secar. textura incomodou, acho única coisa positiva. biquinho sai protetor folgado fica vazando, seja, pra levar bolsa consegue. tudo aqui comentários ignorei, aconselho façam mesmo. 13;3.3;{'label': '1 star', 'score': 0.5166110992431641};negativo;0.5166110992431641
NIVEA SUN Protetor Solar Fluido Facial Tripla Proteção Controle de Oleosidade FPS 65 40ml;Beiersdorf;"maria eduarda anelli bins ótimo custo-benefício! protetor solar bom! fluido deve agitado antes uso. toque pele siliconado, particularmente adoro. assim passa pele fica brilhosa pensa ""meu deus, pior protetor solar mundo"", alguns segundos pele absorve tudo fica maravilha! deu acne deixou pele oleosa. apesar disso, mostra segunda foto, vaza bastante guardado maneira correta, então busca protetor solar ter bolsa, indico porque pode acontecer algum acidente. 26";3.3;{'label': '4 stars', 'score': 0.44821321964263916};positivo;0.44821321964263916
NIVEA SUN Protetor Solar Fluido Facial Tripla Proteção Controle de Oleosidade FPS 65 40ml;Beiersdorf;mirian souza anti oleosidade oleoso protetor anti oleosidade oleoso deixa pele oleosa. qdo chegou, veio bico quebrado amazon trocou.. qdo usar tomei susto pq pura água oleosa. outro dia qdo usar saiu óleo.. ligarei empresa pedirei revejam fórmula qualidade embalagem. 2;3.3;{'label': '1 star', 'score': 0.6801187992095947};negativo;0.6801187992095947
NIVEA SUN Protetor Solar Fluido Facial Tripla Proteção Controle de Oleosidade FPS 65 40ml;Beiersdorf;péssimo produto produto veio vazando caixa, bico dosador quebrado. pior protetor solar existe. extremamente oleoso, deixa pele brilhando. so usei vez nunca mais.;3.3;{'label': '1 star', 'score': 0.9702924489974976};negativo;0.9702924489974976
NIVEA SUN Protetor Solar Fluido Facial Tripla Proteção Controle de Oleosidade FPS 65 40ml;Beiersdorf;"cliente amazon brilha muito. produto promete mate, controlar brilho, além fazer isso, testura brilhosa, forma desconfortável. fórmula fluida, ""seca"" nunca, pele fica aparência oleosa tipo todo. pena, pq cheiro agradável, fluidez facilita aplicação, porém entrega promete. comprarei novamente. 13";3.3;{'label': '2 stars', 'score': 0.39666736125946045};negativo;0.39666736125946045
NIVEA SUN Protetor Solar Fluido Facial Tripla Proteção Controle de Oleosidade FPS 65 40ml;Beiersdorf;"maria eduarda anelli bins ótimo custo-benefício! protetor solar bom! fluido deve agitado antes uso. toque pele siliconado, particularmente adoro. assim passa pele fica brilhosa pensa ""meu deus, pior protetor solar mundo"", alguns segundos pele absorve tudo fica maravilha! deu acne deixou pele oleosa. apesar disso, mostra segunda foto, vaza bastante guardado maneira correta, então busca protetor solar ter bolsa, indico porque pode acontecer algum acidente. 29";3.3;{'label': '4 stars', 'score': 0.44490206241607666};positivo;0.44490206241607666
NIVEA SUN Protetor Solar Fluido Facial Tripla Proteção Controle de Oleosidade FPS 65 40ml;Beiersdorf;pâmela scheron pro oleosidade produto péssimo, frasco veio rachado, agitando bem frasco produto oleoso pele fica brilho só. encheu rosto espinha 1;3.3;{'label': '1 star', 'score': 0.7957569360733032};negativo;0.7957569360733032
NIVEA SUN Protetor Solar Fluido Facial Tripla Proteção Controle de Oleosidade FPS 65 40ml;Beiersdorf;"cliente amazon brilha muito. produto promete mate, controlar brilho, além fazer isso, testura brilhosa, forma desconfortável. fórmula fluida, ""seca"" nunca, pele fica aparência oleosa tipo todo. pena, pq cheiro agradável, fluidez facilita aplicação, porém entrega promete. comprarei novamente. 12";3.3;{'label': '2 stars', 'score': 0.36070770025253296};negativo;0.36070770025253296
NIVEA SUN Protetor Solar Fluido Facial Tripla Proteção Controle de Oleosidade FPS 65 40ml;Beiersdorf;"cliente amazon brilha muito. produto promete mate, controlar brilho, além fazer isso, testura brilhosa, forma desconfortável. fórmula fluida, ""seca"" nunca, pele fica aparência oleosa tipo todo. pena, pq cheiro agradável, fluidez facilita aplicação, porém entrega promete. comprarei novamente. 11";3.3;{'label': '2 stars', 'score': 0.370622843503952};negativo;0.370622843503952
NIVEA SUN Protetor Solar Fluido Facial Tripla Proteção Controle de Oleosidade FPS 65 40ml;Beiersdorf;rose produto vazando. vale estrela nenhuma produto vazando. embalagem defeito. nao indico compra. produto chegou vazando bico dosador quebrado, rachado . cara super oleoso protetor. puderem comprem. decepção produto. 1;3.3;{'label': '1 star', 'score': 0.9849069118499756};negativo;0.9849069118499756
NIVEA SUN Protetor Solar Fluido Facial Tripla Proteção Controle de Oleosidade FPS 65 40ml;Beiersdorf;"cliente amazon brilha muito. produto promete mate, controlar brilho, além fazer isso, testura brilhosa, forma desconfortável. fórmula fluida, ""seca"" nunca, pele fica aparência oleosa tipo todo. pena, pq cheiro agradável, fluidez facilita aplicação, porém entrega promete. comprarei novamente. 10";3.3;{'label': '2 stars', 'score': 0.3223523199558258};negativo;0.3223523199558258
NIVEA SUN Protetor Solar Fluido Facial Tripla Proteção Controle de Oleosidade FPS 65 40ml;Beiersdorf;claudia santiago terrível, fuja deste protetor! embalagem veio bico quebrado, então produto vazando dentro caixa antes abrir. protetor deixa whitecast vc espalhar mais, começa esfarelar, além bomba promete controle oleosidade, óleo puro! foto, comparei outro protetor nívea (triple protect - acne oil control) reparem quanto oleoso, pra ver inclusive marca óleo usei papel limpar mão. péssimo… 2;3.3;{'label': '1 star', 'score': 0.9390485286712646};negativo;0.9390485286712646
NIVEA SUN Protetor Solar Fluido Facial Tripla Proteção Controle de Oleosidade FPS 65 40ml;Beiersdorf;cliente amazon paguei pra ver infelizmente vi vi comentários negativos decidi comprar mesma forma, achei alguns exagerados, infelizmente mentindo. produto cumpre oq promete, pele fica extremamente oleosa, demora muuuito pra secar... verdade rosto uns 5 minutos ainda secou, tô perguntando algum momento vai secar. textura incomodou, acho única coisa positiva. biquinho sai protetor folgado fica vazando, seja, pra levar bolsa consegue. tudo aqui comentários ignorei, aconselho façam mesmo. 17;3.3;{'label': '1 star', 'score': 0.5389668345451355};negativo;0.5389668345451355
 Latika  Sun Stick FPS50 - Protetor Solar Facial 20g ; Latika ;comprei deixar bolsa reaplicar rua. protetor principal excelente levar qualquer lugar.;3.3;{'label': '5 stars', 'score': 0.66510009765625};positivo;0.66510009765625
 Mantecorp  Epsiol Smart Color FPS 50 - Protetor Solar Facial com Cor 40ml ; Mantecorp ;produto fica uniforme pele. gostei textura.;3.3;{'label': '3 stars', 'score': 0.3952147364616394};neutro;0.3952147364616394
 Mantecorp  Epsiol Smart Color FPS 50 - Protetor Solar Facial com Cor 40ml ; Mantecorp ;perfeição adequar cada cor!! melhor usei tom levinho ???;3.3;{'label': '5 stars', 'score': 0.6542510390281677};positivo;0.6542510390281677
NIVEA SUN Protetor Solar Fluido Facial Tripla Proteção Controle de Oleosidade FPS 65 40ml;Beiersdorf;claudia santiago terrível, fuja deste protetor! embalagem veio bico quebrado, então produto vazando dentro caixa antes abrir. protetor deixa whitecast vc espalhar mais, começa esfarelar, além bomba promete controle oleosidade, óleo puro! foto, comparei outro protetor nívea (triple protect - acne oil control) reparem quanto oleoso, pra ver inclusive marca óleo usei papel limpar mão. péssimo… 4;3.3;{'label': '1 star', 'score': 0.9471808671951294};negativo;0.9471808671951294
NIVEA SUN Protetor Solar Fluido Facial Tripla Proteção Controle de Oleosidade FPS 65 40ml;Beiersdorf;cliente amazon paguei pra ver infelizmente vi vi comentários negativos decidi comprar mesma forma, achei alguns exagerados, infelizmente mentindo. produto cumpre oq promete, pele fica extremamente oleosa, demora muuuito pra secar... verdade rosto uns 5 minutos ainda secou, tô perguntando algum momento vai secar. textura incomodou, acho única coisa positiva. biquinho sai protetor folgado fica vazando, seja, pra levar bolsa consegue. tudo aqui comentários ignorei, aconselho façam mesmo. 16;3.3;{'label': '1 star', 'score': 0.533878743648529};negativo;0.533878743648529
NIVEA SUN Protetor Solar Fluido Facial Tripla Proteção Controle de Oleosidade FPS 65 40ml;Beiersdorf;"maria eduarda anelli bins ótimo custo-benefício! protetor solar bom! fluido deve agitado antes uso. toque pele siliconado, particularmente adoro. assim passa pele fica brilhosa pensa ""meu deus, pior protetor solar mundo"", alguns segundos pele absorve tudo fica maravilha! deu acne deixou pele oleosa. apesar disso, mostra segunda foto, vaza bastante guardado maneira correta, então busca protetor solar ter bolsa, indico porque pode acontecer algum acidente. 30";3.3;{'label': '4 stars', 'score': 0.4206579625606537};positivo;0.4206579625606537
NIVEA SUN Protetor Solar Fluido Facial Tripla Proteção Controle de Oleosidade FPS 65 40ml;Beiersdorf;lucena chegou prazo custo benefício ótimo ....achei pouco oleoso pele;3.3;{'label': '1 star', 'score': 0.3641212582588196};negativo;0.3641212582588196
NIVEA SUN Protetor Solar Fluido Facial Tripla Proteção Controle de Oleosidade FPS 65 40ml;Beiersdorf;francine deixa rosto aspecto oleoso 28 março 2024 confesso pior protetor solar usei, promete deixar pele oleosa, logo passa parece pele super oleosa, mão fica branca passar, lavar limpar mão pano, escorre, bom, rosto parece suado, tão brilhante fica 3;3.3;{'label': '1 star', 'score': 0.5074857473373413};negativo;0.5074857473373413
NIVEA SUN Protetor Solar Fluido Facial Tripla Proteção Controle de Oleosidade FPS 65 40ml;Beiersdorf;"maria eduarda anelli bins ótimo custo-benefício! protetor solar bom! fluido deve agitado antes uso. toque pele siliconado, particularmente adoro. assim passa pele fica brilhosa pensa ""meu deus, pior protetor solar mundo"", alguns segundos pele absorve tudo fica maravilha! deu acne deixou pele oleosa. apesar disso, mostra segunda foto, vaza bastante guardado maneira correta, então busca protetor solar ter bolsa, indico porque pode acontecer algum acidente. 27";3.3;{'label': '4 stars', 'score': 0.43296492099761963};positivo;0.43296492099761963
NIVEA SUN Protetor Solar Fluido Facial Tripla Proteção Controle de Oleosidade FPS 65 40ml;Beiersdorf;anndy textura perfeita bem fluido, deixa sensação grudenta pele excesso brilho, adorei! 1;3.3;{'label': '5 stars', 'score': 0.6552114486694336};positivo;0.6552114486694336
NIVEA SUN Protetor Solar Fluido Facial Tripla Proteção Controle de Oleosidade FPS 65 40ml;Beiersdorf;luidy embalagem danificada quase todas avaliações produto veio avariado quantidade reduzida produto, outro ponto negativo pele fica extremamente oleosa, pele seca avaliações relatavam exatamente efeito oleoso então achei interessante investir algo pesado hidratação forte, peles secas fica muitooooo oleoso.;3.3;{'label': '1 star', 'score': 0.46555694937705994};negativo;0.46555694937705994
NIVEA SUN Protetor Solar Fluido Facial Tripla Proteção Controle de Oleosidade FPS 65 40ml;Beiersdorf;sarah produto bom comecei usar tô adorando. toque seco;3.3;{'label': '4 stars', 'score': 0.4221181571483612};positivo;0.4221181571483612
NIVEA SUN Protetor Solar Fluido Facial Tripla Proteção Controle de Oleosidade FPS 65 40ml;Beiersdorf;claudia santiago terrível, fuja deste protetor! embalagem veio bico quebrado, então produto vazando dentro caixa antes abrir. protetor deixa whitecast vc espalhar mais, começa esfarelar, além bomba promete controle oleosidade, óleo puro! foto, comparei outro protetor nívea (triple protect - acne oil control) reparem quanto oleoso, pra ver inclusive marca óleo usei papel limpar mão. péssimo… 3;3.3;{'label': '1 star', 'score': 0.9267084002494812};negativo;0.9267084002494812
NIVEA SUN Protetor Solar Fluido Facial Tripla Proteção Controle de Oleosidade FPS 65 40ml;Beiersdorf;claudia santiago terrível, fuja deste protetor! embalagem veio bico quebrado, então produto vazando dentro caixa antes abrir. protetor deixa whitecast vc espalhar mais, começa esfarelar, além bomba promete controle oleosidade, óleo puro! foto, comparei outro protetor nívea (triple protect - acne oil control) reparem quanto oleoso, pra ver inclusive marca óleo usei papel limpar mão. péssimo…;3.3;{'label': '1 star', 'score': 0.9722860455513};negativo;0.9722860455513
NIVEA SUN Protetor Solar Fluido Facial Tripla Proteção Controle de Oleosidade FPS 65 40ml;Beiersdorf;yasmin kunzel scheeren embalagem vazando, produto oleoso embalagem vaza, pessoas relataram isso. pior, protetor parece oleo puro, admiro ainda q vem escrito anti oleosidade, vários tão oleoso tanto, imagina calor , valeu apena, recomendo.;3.3;{'label': '1 star', 'score': 0.45074039697647095};negativo;0.45074039697647095
NIVEA SUN Protetor Solar Fluido Facial Tripla Proteção Controle de Oleosidade FPS 65 40ml;Beiersdorf;suriana silveira silva realmente surpreendeu primeira fiquei bastante receio desse produto maioria comentários falando bem mal final contas veio inteiro nenhuma parte quebrada fica vazando pele (pelo menos minha) absorve bem rápido deixa vem seca 3;3.3;{'label': '1 star', 'score': 0.39701369404792786};negativo;0.39701369404792786
NIVEA SUN Protetor Solar Fluido Facial Tripla Proteção Controle de Oleosidade FPS 65 40ml;Beiersdorf;"maria eduarda anelli bins ótimo custo-benefício! protetor solar bom! fluido deve agitado antes uso. toque pele siliconado, particularmente adoro. assim passa pele fica brilhosa pensa ""meu deus, pior protetor solar mundo"", alguns segundos pele absorve tudo fica maravilha! deu acne deixou pele oleosa. apesar disso, mostra segunda foto, vaza bastante guardado maneira correta, então busca protetor solar ter bolsa, indico porque pode acontecer algum acidente. 22";3.3;{'label': '4 stars', 'score': 0.4656490385532379};positivo;0.4656490385532379
NIVEA SUN Protetor Solar Fluido Facial Tripla Proteção Controle de Oleosidade FPS 65 40ml;Beiersdorf;"cliente amazon brilha muito. produto promete mate, controlar brilho, além fazer isso, testura brilhosa, forma desconfortável. fórmula fluida, ""seca"" nunca, pele fica aparência oleosa tipo todo. pena, pq cheiro agradável, fluidez facilita aplicação, porém entrega promete. comprarei novamente. 16";3.3;{'label': '2 stars', 'score': 0.39566972851753235};negativo;0.39566972851753235
NIVEA SUN Protetor Solar Fluido Facial Tripla Proteção Controle de Oleosidade FPS 65 40ml;Beiersdorf;cliente amazon paguei pra ver infelizmente vi vi comentários negativos decidi comprar mesma forma, achei alguns exagerados, infelizmente mentindo. produto cumpre oq promete, pele fica extremamente oleosa, demora muuuito pra secar... verdade rosto uns 5 minutos ainda secou, tô perguntando algum momento vai secar. textura incomodou, acho única coisa positiva. biquinho sai protetor folgado fica vazando, seja, pra levar bolsa consegue. tudo aqui comentários ignorei, aconselho façam mesmo. 15;3.3;{'label': '1 star', 'score': 0.5338430404663086};negativo;0.5338430404663086
NIVEA SUN Protetor Solar Fluido Facial Tripla Proteção Controle de Oleosidade FPS 65 40ml;Beiersdorf;"maria eduarda anelli bins ótimo custo-benefício! protetor solar bom! fluido deve agitado antes uso. toque pele siliconado, particularmente adoro. assim passa pele fica brilhosa pensa ""meu deus, pior protetor solar mundo"", alguns segundos pele absorve tudo fica maravilha! deu acne deixou pele oleosa. apesar disso, mostra segunda foto, vaza bastante guardado maneira correta, então busca protetor solar ter bolsa, indico porque pode acontecer algum acidente. 21";3.3;{'label': '4 stars', 'score': 0.4415561556816101};positivo;0.4415561556816101
NIVEA SUN Protetor Solar Fluido Facial Tripla Proteção Controle de Oleosidade FPS 65 40ml;Beiersdorf;josias cunha junior péssima embalagem produto bom, preciso agitar antes passear pelo. embalagem pessima, veda produto, bico quebra fácil , comprei dois dois vazam base bico dispensador.;3.3;{'label': '2 stars', 'score': 0.44865158200263977};negativo;0.44865158200263977
NIVEA SUN Protetor Solar Fluido Facial Tripla Proteção Controle de Oleosidade FPS 65 40ml;Beiersdorf;"maria eduarda anelli bins ótimo custo-benefício! protetor solar bom! fluido deve agitado antes uso. toque pele siliconado, particularmente adoro. assim passa pele fica brilhosa pensa ""meu deus, pior protetor solar mundo"", alguns segundos pele absorve tudo fica maravilha! deu acne deixou pele oleosa. apesar disso, mostra segunda foto, vaza bastante guardado maneira correta, então busca protetor solar ter bolsa, indico porque pode acontecer algum acidente. 28";3.3;{'label': '4 stars', 'score': 0.45647305250167847};positivo;0.45647305250167847
NIVEA SUN Protetor Solar Fluido Facial Tripla Proteção Controle de Oleosidade FPS 65 40ml;Beiersdorf;danielle setton braga oliveira vasconcelos chegou antes prazo. veio super rápido, duas caixas vieram derramadas pouco valeu pena compra veio frete grátis comprei 2 preço 1. acho pq líquido derrama fácil.;3.3;{'label': '1 star', 'score': 0.5488035082817078};negativo;0.5488035082817078
NIVEA SUN Protetor Solar Fluido Facial Tripla Proteção Controle de Oleosidade FPS 65 40ml;Beiersdorf;suriana silveira silva realmente surpreendeu primeira fiquei bastante receio desse produto maioria comentários falando bem mal final contas veio inteiro nenhuma parte quebrada fica vazando pele (pelo menos minha) absorve bem rápido deixa vem seca 1;3.3;{'label': '1 star', 'score': 0.4845733940601349};negativo;0.4845733940601349
NIVEA SUN Protetor Solar Fluido Facial Tripla Proteção Controle de Oleosidade FPS 65 40ml;Beiersdorf;pâmela scheron pro oleosidade produto péssimo, frasco veio rachado, agitando bem frasco produto oleoso pele fica brilho só. encheu rosto espinha;3.3;{'label': '1 star', 'score': 0.786280632019043};negativo;0.786280632019043
NIVEA SUN Protetor Solar Fluido Facial Tripla Proteção Controle de Oleosidade FPS 65 40ml;Beiersdorf;cliente amazon paguei pra ver infelizmente vi vi comentários negativos decidi comprar mesma forma, achei alguns exagerados, infelizmente mentindo. produto cumpre oq promete, pele fica extremamente oleosa, demora muuuito pra secar... verdade rosto uns 5 minutos ainda secou, tô perguntando algum momento vai secar. textura incomodou, acho única coisa positiva. biquinho sai protetor folgado fica vazando, seja, pra levar bolsa consegue. tudo aqui comentários ignorei, aconselho façam mesmo. 12;3.3;{'label': '1 star', 'score': 0.5228886604309082};negativo;0.5228886604309082
 Vichy  Capital Soleil FPS60 Cor 5.0 - Protetor Solar com Cor 40g ; Vichy ;nao deixa pele oleosa, pele fica sequinha, produto otimo gosta protetor solar cor. recomendo;3.5;{'label': '3 stars', 'score': 0.2743186056613922};neutro;0.2743186056613922
 Vichy  Capital Soleil FPS60 Cor 2.0 - Protetor Solar com Cor 40g ; Vichy ;nao deixa pele oleosa, pele fica sequinha, produto otimo gosta protetor solar cor. recomendo;3.5;{'label': '3 stars', 'score': 0.2743186056613922};neutro;0.2743186056613922
