prod_descricao;prod_marca;prod_detalhe;prod_fps
DARROW ACTINE OIL CONTROL GEL DE LIMPEZA 140G;Pierre Fabre;DESCRIÇÃO Darrow Actine Oil Control Gel de Limpeza é um higienizador diário das peles mistas a oleosas que reduz os poros, evita o efeito rebote, além de controlar a oleosidade por até 12 horas. Actine Oil Control Gel de Limpeza tem uma fórmula exclusiva com o complexo Oil Control, que une o poder do Ácido Glicólico, que atua no controle eficaz e duradouro da oleosidade e do brilho excessivo e a Vitamina B5, que oferece uma poderosa hidratação e ação anti-inflamatória que atua na reparação e renovação da pele. BENEFÍCIOS 12h ação antioleosidade 97% ação renovadora da pele 96% de pele matificada 89% de desobstrução dos poros 97% pele livre do efeito rebote SUGESTÃO DE USO Massagear o sabonete suavemente na pele umedecida, fazendo espuma. Enxaguar abundantemente. Utilizar de 1 a 2 vezes por dia ou conforme a orientação do seu dermatologista.;0
DW ACTINE AQUAFLUID FPS 60 40G;Pierre Fabre;Descrição do produto Actine, a linha expert em pele oleosa, mais prescrita pelos dermatologistas, possui um portfólio completo de produtos desenvolvidos especialmente para pele latina, a mantendo limpa, hidratada, protegida e sem o aspecto brilhante todos os dias. Actine Aquafluid Protetor Solar FPS 60 é uma fórmula especialmente desenvolvida para o cuidado da pele oleosa a acneica. Possui alta fotoproteção UVA/UVB, textura fluida de absorção imediata e toque seco. Seu complexo único de ativos - P-Refynil e Ácido glutâmico - age profundamente e trata a oleosidade desde a origem. Hipoalergênico e não comedogênico. Produto não testado em animais. Indicação: Peles Oleosas a Acneicas Benefícios: • Alta fotoproteção UVA/UVB • Ação imediata: Matifica por 14h • Trata a oleosidade na origem • Previne a acne • Textura fluida • Hipoalergênico • Não comedogênico • Não testado em animais Disponível na versão sem e com com cor. Complexo exclusivo de ativos antioleosidade: • P-Refynil ™– Reduz o tamanho e aparência dos poros • Ácido Glutâmico - Proporciona redução da oleosidade e auxilia na prevenção da acne Desenvolvido especialmente para peles brasileiras. Modo de uso: Aplique abundantemente antes da exposição ao sol. Se a quantidade aplicada não for adequada, o nível de proteção será significativamente reduzido. Reaplicar sempre, após sudorese intensa, nadar ou banhar-se, secar-se com toalha e durante exposição ao sol. É nedessário a reaplicação do produto para manter a sua efetividade. Ajuda a prevenir as queimaduras solares. Sobre a Marca: A Darrow Dermocosméticos é uma marca brasileira que se preocupa em oferecer aos consumidores produtos comprovadamente eficazes e desenvolvidos especialmente para as peles latinas. Presente há mais de 50 anos no mercado, possui a expertise reconhecida no segmento de cuidados com a pele oleosa.;60
DW ACTINE AQUAFLUID FPS 60 40G;Pierre Fabre;DESCRIÇÃO Actine, a linha expert em pele oleosa, mais prescrita pelos dermatologistas, possui um portfólio completo de produtos desenvolvidos especialmente para pele latina, a mantendo limpa, hidratada, protegida e sem o aspecto brilhante todos os dias. Actine Aquafluid Protetor Solar FPS 60 é uma fórmula especialmente desenvolvida para o cuidado da pele oleosa a acneica. Possui alta fotoproteção UVA/UVB, textura fluida de absorção imediata e toque seco. Seu complexo único de ativos - P-Refynil e Ácido glutâmico - age profundamente e trata a oleosidade desde a origem. Hipoalergênico e não comedogênico. Produto não testado em animais. Indicação: Peles Oleosas a Acneicas Benefícios: • Alta fotoproteção UVA/UVB • Ação imediata: Matifica por 14h • Trata a oleosidade na origem • Previne a acne • Textura fluida • Hipoalergênico • Não comedogênico • Não testado em animais Disponível na versão sem e com com cor. Complexo exclusivo de ativos antioleosidade: • P-Refynil ™– Reduz o tamanho e aparência dos poros • Ácido Glutâmico - Proporciona redução da oleosidade e auxilia na prevenção da acne Desenvolvido especialmente para peles brasileiras. Modo de uso: Aplique abundantemente antes da exposição ao sol. Se a quantidade aplicada não for adequada, o nível de proteção será significativamente reduzido. Reaplicar sempre, após sudorese intensa, nadar ou banhar-se, secar-se com toalha e durante exposição ao sol. É nedessário a reaplicação do produto para manter a sua efetividade. Ajuda a prevenir as queimaduras solares. Sobre a Marca: A Darrow Dermocosméticos é uma marca brasileira que se preocupa em oferecer aos consumidores produtos comprovadamente eficazes e desenvolvidos especialmente para as peles latinas. Presente há mais de 50 anos no mercado, possui a expertise reconhecida no segmento de cuidados com a pele oleosa. BENEFÍCIOS • Alta fotoproteção UVA/UVB • Ação imediata: Matifica por 14h • Trata a oleosidade na origem • Previne a acne • Textura fluida • Hipoalergênico • Não comedogênico • Não testado em animais SUGESTÃO DE USO Peles oleosas e acneicas;60
Darrow Actine - Protetor Solar Ultra Fps80;Pierre Fabre;DESCRIÇÃO Darrow Actine Ultra Protetor Solar FPS 80 é uma fórmula especialmente desenvolvida para o cuidado da pele oleosa a acneica. Possui muito alta fotoproteção UVA/UVB, textura ultra-fluida de absorção imediata e toque ultraleve. Seu complexo exclusivo de ativos - P-Refynil™, Zinco, Vitamina E e OTZ 10 - garante tripla ação antioleosidade: alta eficácia com 14h de oil control, prevenção da acne e redução dos poros. Hipoalergênico e testado dermatologicamente. Não arde os olhos.Sem perfume. Produto não testado em animais. BENEFÍCIOS • P-Refynil ™ – Reduz o tamanho e aparência dos poros • Zinco – Reduz a oleosidade e possui ação secativa e antiinflamatória • Vitamina E SUGESTÃO DE USO Peles oleosas e acneicas;80
Darrow Actine Colors Fps 70 Pele Clara 40G;Pierre Fabre;BENEFÍCIOS Proteção ultravioleta SUGESTÃO DE USO Aplique o produto uniformemente sobre a pele antes da exposição solar e sempre que necessário. É necessária a reaplicação do produto para manter sua efetividade. Se a quantidade aplicada não for adequada, o nível de proteção será significativamente reduzido.;70
Darrow Actine Sabonete Barra Pele Oleosa A Acneica - 70G 70G;Pierre Fabre;SUGESTÃO DE USO Massageie suavemente o produto na pele umedecida até fazer espuma. Enxague abundantemente. Utilize-o de 1 a 2 vezes por dia ou conforme a orientação do seu dermatologista.;0
Dermage Photoage Water FPS 50;Dermage;DESCRIÇÃO Filtro solar aquoso Photoage Water Com FPS50 e PPD20 de rápida absorção e toque seco. BENEFÍCIOS FPS50 e PPD / FPUVA 20 Cobertura imperceptível Película de proteção invisível Toque seco Textura Acqua Fluid de rápida absorção Proteção solar de alto espectro contra raios UVA e UVB Indicado para pele sensível a filtro solar químico SUGESTÃO DE USO Pessoal;50
Episol Protetor Solar Uniformizador Smart Color Fps 50;Hypera BR;Descrição do produto EPISOL SMART COLOR FPS 50 é um protetor solar indicado para todos os tipos de pele. Sua tecnologia Smart Color, em que os pigmentos estão encapsulados, permite que a cor seja revelada ao ser espalhado para a pele, se adaptando aos diferentes tons. Oferece alta proteção contra os raios UVA e UVB e ajuda a proteger contra a luz visível. Tem ação rejuvenescedora e clareadora devido à presença da Niacinamida. Possui ação antioxidante que preserva o colágeno através de uma tecnologia inovadora que minimiza danos mais profundos na pele causados pelos raios infravermelhos. Proporciona toque seco e sensação de pele limpa, oferece boa absorção e fácil espalhabilidade. É um produto não comedogênico (não provoca cravos), dermatologicamente e oftalmologicamente testado desenvolvido para pele muito sensível à queimadora solar. O uso regular auxilia na prevenção do câncer de pele e de outros efeitos danosos causados pelo sol, como envelehemcimento precoce. MODO DE USAR: o produto deve ser aplicado em abundância e uniformemente sobre a pele seca antes da exposição ao sol. Se a quantidade aplicada não for adequada, o nível de proteção será significativamente reduzido. É necessária a reaplicação do produto para manter sua efetividade. Reaplicar após sudorese intensa, nadar ou banhar-se, secar-se com toalha e durante exposição ao sol. Uso Diário;50
Episol Sec Oc Protetor Solar, Mantecorp Skincare;Hypera BR;"DESCRIÇÃO Episol Sec OC é uma linha de protetor solar indicada para pele oleosa. Devido a sua tecnologia Skin Self Control com ativos que agem diretamente na glândula sebácea. Episol Sec OC controla a oleosidade da pele por 12h, reduz os poros e proporciona sensação de pele limpa com toque seco e efeito matificante. BENEFÍCIOS • Tecnologia Skin Self Control: Nova geração em fotoproteção para pele oleosa (glicoesferas de sílica pré-carregadas com os ativos Miniporyl e Nelupure);• 12h de controle da oleosidade e brilho facial;• Reduz o tamanho e número de poros (ação adstringente);• Alta proteção UVA/UVB e Infravermelho A;• Previne o envelhecimento precoce;";0
Episol Sec Oc Protetor Solar, Mantecorp Skincare;Hypera BR;"DESCRIÇÃO Episol Sec OC é uma linha de protetor solar indicada para pele oleosa. Devido a sua tecnologia Skin Self Control com ativos que agem diretamente na glândula sebácea. Episol Sec OC controla a oleosidade da pele por 12h, reduz os poros e proporciona sensação de pele limpa com toque seco e efeito matificante. BENEFÍCIOS • Tecnologia Skin Self Control: Nova geração em fotoproteção para pele oleosa (glicoesferas de sílica pré-carregadas com os ativos Miniporyl e Nelupure);• 12h de controle da oleosidade e brilho facial;• Reduz o tamanho e número de poros (ação adstringente);• Alta proteção UVA/UVB e Infravermelho A;• Previne o envelhecimento precoce; SUGESTÃO DE USO Pessoal";0
Eucerin Protetor Solar Facial - Sun Fluido Anti-Idade Fps 50 50Ml;Eucerin;DESCRIÇÃO Eucerin Sun Anti-Idade FPS 50 é um produto da linha Eucerin Sun, testado e desenvolvido para oferecer proteção solar inovadora com ADVANCED SPECTRAL TECHNOLOGY, sistema de filtros UVA/UVB fotoestáveis e proteção biológica das células - O antioxidante Licochalcona A protege as camadas mais profundas da epiderme e combate os radicais livres causados pela exposição à luz visível, enquanto o Ácido Glicirretínico que ajuda na renovação dos mecanismos de defesa naturais do DNA celular. Além disso, a fórmula com cadeias longas e curtas de Ácido Hialurônico hidrata a pele intensamente e reduz visivelmente as rugas do rosto e colo. O produto é indicado para todos os tipos de pele. BENEFÍCIOS Protege a pele de queimaduras solares, reduz o risco de danos induzidos pelo sol e auxilia no preenchimento de rugas. SUGESTÃO DE USO Aplique abundantemente 30 minutos antes da exposição ao sol e sempre que necessário. Reaplicar sempre, após sudorese intensa, nadar ou banhar-se, secar-se com toalha e durante a exposição ao sol. Se a quantidade aplicada não for adequada, o nível de proteção será significativamente reduzido. Oferece muito alta proteção contra queimaduras solares e é indicado para pele extremamente sensível a queimadura solar. Para crianças menores de 6 meses, consultar um médico. Pode causar manchas em tecidos.;50
Eucerin Protetor Solar Facial - Sun Gel-Creme Oil Control Fps 60 50G;"4,4 x 4,4 x 12,5 cm; 50 g";DESCRIÇÃO Eucerin Sun Oil Control FPS 60 é um produto da linha Eucerin Sun, testado e desenvolvido para oferecer proteção solar inovadora com ADVANCED SPECTRAL TECHNOLOGY, sistema de filtros UVA/UVB fotoestáveis e proteção biológica das células - O antioxidante Licochalcona A protege as camadas mais profundas da epiderme e combate os radicais livres causados pela exposição à luz visível, enquanto o Ácido Glicirretínico que ajuda na renovação dos mecanismos de defesa naturais do DNA celular. Além disso, a Tecnologia Oil Control com toque seco e o ativo sebo regulador L-Carnitina, deixa sensação de pele matificada instantaneamente, resultando em uma pele menos oleosa. BENEFÍCIOS Protege a pele de queimaduras solares e reduz o risco de danos induzidos pelo sol. Controle imediato e contínuo da oleosidade da pele. Efeito matificante de longa duração. Toque seco com efeito antibrilho imediato. SUGESTÃO DE USO Aplique abundantemente 30 minutos antes da exposição ao sol e sempre que necessário. Reaplicar sempre, após sudorese intensa, nadar ou banhar-se, secar-se com toalha e durante a exposição ao sol. Se a quantidade aplicada não for adequada, o nível de proteção será significativamente reduzido. Oferece muito alta proteção contra queimaduras solares e é indicado para pele extremamente sensível a queimadura solar. Para crianças menores de 6 meses, consultar um médico. Pode causar manchas em tecidos.;60
Eucerin Protetor Solar Sun Extra Light FPS 50 150ml;"10 x 11 x 12 cm; 0,21 g";DESCRIÇÃO Eucerin Loção Solar Extra Light FPS 60 possui a ADVANCED SPECTRAL TECHNOLOGY, sistema de filtros UVA/UVB fotoestáveis e proteção biológica das células - O antioxidante Licochalcona A protege as camadas mais profundas da epiderme e combate os radicais livres causados pela exposição à luz visível, enquanto o Ácido Glicirretínico que ajuda na renovação dos mecanismos de defesa naturais do DNA celular. Acalma a pele sensível e protege dos danos induzidos pelo sol. Resistente à água e de rápida absorção, apresenta boa tolerabilidade na pele sensível. Sua tecnologia antimanchas ajuda a reduzir a intensidade das manchas do protetor solar nas roupas pós lavagem. BENEFÍCIOS Proteção ultravioleta SUGESTÃO DE USO Aplique abundantemente 30 minutos antes da exposição ao sol e sempre que necessário. Reaplicar sempre, após sudorese intensa, nadar ou banhar-se, secar-se com toalha e durante a exposição ao sol. Se a quantidade aplicada não for adequada, o nível de proteção será significativamente reduzido. Oferece muito alta proteção contra queimaduras solares e é indicado para pele extremamente sensível a queimadura solar. Para crianças menores de 6 meses, consultar um médico. Pode causar manchas em tecidos.;50
Eucerin Sun Hydro Fluid FPS60 50ml;Eucerin;DESCRIÇÃO Eucerin Sun Hidro Fluído foi desenvolvido para todos os tipos de pele. O produto tem 0% Resíduos, 0% Pegajoso e 0% Oleoso. 89% dos consumidores sentem a hidratação imediata na pele, além do aumento de 25% de hidratação. 100% afirmam que espalha facilmente. BENEFÍCIOS EUCERIN® HYDRO FLUID FPS 60 ? Para todos os tipos de pele, inclusive as oleosas. ? Fórmula fluida ultra leve ? Acabamento invisível para uso diário ? Não pegajoso, não oleoso e não deixa resíduos brancos na pele SUGESTÃO DE USO Eucerin Sun Hidro Fluído foi desenvolvido para todos os tipos de pele. O produto tem 0% Resíduos, 0% Pegajoso e 0% Oleoso. 89% dos consumidores sentem a hidratação imediata na pele, além do aumento de 25% de hidratação. 100% afirmam que espalha facilmente.;60
Eucerin Sun Pigment Control FPS 60 Protetor Solar Facial 50ml 50ml;Eucerin;DESCRIÇÃO Eucerin Sun Pigment Control FPS 60 é um produto da linha Eucerin Sun, testado e desenvolvido para oferecer proteção solar inovadora com ADVANCED SPECTRAL TECHNOLOGY, sistema de filtros UVA/UVB fotoestáveis e proteção biológica das células - O antioxidante Licochalcona A protege as camadas mais profundas da epiderme e combate os radicais livres causados pela exposição à luz visível, enquanto o Ácido Glicirretínico que ajuda na renovação dos mecanismos de defesa naturais do DNA celular. A fórmula é ainda enriquecida com Thiamidol, um ativo eficaz e patenteado que atua na causa raiz da hiperpigmentação. Ele reduz visivelmente áreas hiperpigmentadas com o tempo e, quando usado regularmente, impede seu reaparecimento. BENEFÍCIOS Protege a pele de queimaduras solares e reduz o risco de danos induzidos pelo sol. Previne, controla e combate a hiperpigmentação. SUGESTÃO DE USO Aplique abundantemente 30 minutos antes da exposição ao sol e sempre que necessário. Reaplicar sempre, após sudorese intensa, nadar ou banhar-se, secar-se com toalha e durante a exposição ao sol. Se a quantidade aplicada não for adequada, o nível de proteção será significativamente reduzido. Oferece muito alta proteção contra queimaduras solares e é indicado para pele extremamente sensível a queimadura solar. Para crianças menores de 6 meses, consultar um médico. Pode causar manchas em tecidos.;60
Eucerin Sérum Facial Anti-Pigment - Dual Sérum 30Ml;Eucerin;DESCRIÇÃO Anti-Pigment Dual Sérum é um clareador da linha Anti-Pigment Eucerin, testado e desenvolvido para enzima humana, que trás o ativo revolucionário Thiamidol patenteado, que reduz a hiperpigmentação da pele. Sua fórmula foi clínica e dermatologicamente comprovada para reduzir e prevenir o reaparecimento da hiperpigmentação. Além de possuir Ácido Hialurônico concentrado, responsável por realizar o preenchimento de rugas e melhorar a qualidade da pele, devolvendo a luminosidade. O Sérum clareador de pele é indicado para cuidado de pele que possui hiperpigmentação, trazendo resultados visíveis a partir de 2 semanas. Para todos os tipos de pele com hiperpigmentação, com ação anti-idade. BENEFÍCIOS Resultados visíveis a partir de 2 semanas, uniformizando a tonalidade da pele e reduzindo a hiperpigmentação. SUGESTÃO DE USO Aplique o produto Anti-pigment Dual Serum duas vezes ao dia no rosto previamente limpo e massageie suavemente na pele. Faça no máximo 4 aplicações de produtos com Thiamidol por dia.;0
Eucerin, Protetor Solar Facial Oil Control Tinted com Cor FPS70 50g;Eucerin;"DESCRIÇÃO Eucerin Sun Oil Control Tinted Claro FPS 70 é testado e desenvolvido para oferecer proteção solar inovadora com ADVANCED SPECTRAL TECHNOLOGY, que é composto por um sistema de filtros UVA/UVB fotoestáveis; proteção biológica das células e antioxidante Licochalcona A protege as camadas mais profundas da epiderme e combate os radicais livres causados pela exposição à luz visível; Fórmula com pigmentos para uma dupla ação: Alta cobertura natural e imediata das imperfeições e impurezas da pele. Promove a defesa adicional contra a luz visível. Promove 12h no controle do brilho e oleosidade, alta cobertura e não transfere a cor. Proteção solar diária para pele mista, oleosa e acneica. Controle prolongado da oleosidade com efeito matificante de longa duração. Alta cobertura e não transfere a cor. BENEFÍCIOS Proteção solar diária para pele mista, oleosa e acneica. Controle prolongado da oleosidade com efeito matificante de longa duração. Alta cobertura e não transfere a cor. SUGESTÃO DE USO Aplique abundantemente 30 minutos antes da exposição ao sol e sempre que necessário. Reaplicar sempre, após sudorese intensa, nadar ou banhar-se, secar-se com toalha e durante a exposição ao sol. Se a quantidade aplicada não for adequada, o nível de proteção será significativamente reduzido. Oferece muito alta proteção contra queimaduras solares e é indicado para pele extremamente sensível a queimadura solar. Para crianças menores de 6 meses, consultar um médico. Pode causar manchas em tecidos.";70
Eucerin, Protetor Solar Facial Oil Control Tinted com Cor FPS70 50g;Eucerin;"DESCRIÇÃO Eucerin Sun Oil Control Tinted Média FPS 70 é testado e desenvolvido para oferecer proteção solar inovadora com ADVANCED SPECTRAL TECHNOLOGY, que é composto por um sistema de filtros UVA/UVB fotoestáveis; proteção biológica das células e antioxidante Licochalcona A protege as camadas mais profundas da epiderme e combate os radicais livres causados pela exposição à luz visível; Fórmula com pigmentos para uma dupla ação: Alta cobertura natural e imediata das imperfeições e impurezas da pele. Promove a defesa adicional contra a luz visível. Promove 12h no controle do brilho e oleosidade, alta cobertura e não transfere a cor. Proteção solar diária para pele mista, oleosa e acneica. Controle prolongado da oleosidade com efeito matificante de longa duração. Alta cobertura e não transfere a cor. BENEFÍCIOS Proteção solar diária para pele mista, oleosa e acneica. Controle prolongado da oleosidade com efeito matificante de longa duração. Alta cobertura e não transfere a cor. SUGESTÃO DE USO Aplique abundantemente 30 minutos antes da exposição ao sol e sempre que necessário. Reaplicar sempre, após sudorese intensa, nadar ou banhar-se, secar-se com toalha e durante a exposição ao sol. Se a quantidade aplicada não for adequada, o nível de proteção será significativamente reduzido. Oferece muito alta proteção contra queimaduras solares e é indicado para pele extremamente sensível a queimadura solar. Para crianças menores de 6 meses, consultar um médico. Pode causar manchas em tecidos.";70
Eucerin, Protetor Solar Facial Pigment Control Tinted com Cor FPS70 50g;Eucerin;DESCRIÇÃO Eucerin Sun Pigment Control Tinted Claro FPS 70 é um produto da linha Eucerin Sun, testado e desenvolvido para oferecer proteção solar inovadora com ADVANCED SPECTRAL TECHNOLOGY, sistema de filtros UVA/UVB fotoestáveis e proteção biológica das células - O antioxidante Licochalcona A protege as camadas mais profundas da epiderme e combate os radicais livres causados pela exposição à luz visível, enquanto o Ácido Glicirretínico que ajuda na renovação dos mecanismos de defesa naturais do DNA celular. A fórmula é ainda enriquecida com Thiamidol, um ativo eficaz e patenteado que atua na causa raiz da hiperpigmentação. Ele reduz visivelmente áreas hiperpigmentadas com o tempo e, quando usado regularmente, impede seu reaparecimento. Além de conter uma combinação de pigmentos que trazem a uniformização imediata da pele com alta cobertura natural. BENEFÍCIOS Reduz e controla a hiperpigmentação causada pelo sol, uniformizando o tom da pele. Previne as manchas causadas pela exposição solar e o seu reaparecimento. SUGESTÃO DE USO Aplique abundantemente 30 minutos antes da exposição ao sol e sempre que necessário. Reaplicar sempre, após sudorese intensa, nadar ou banhar-se, secar-se com toalha e durante a exposição ao sol. Se a quantidade aplicada não for adequada, o nível de proteção será significativamente reduzido. Oferece muito alta proteção contra queimaduras solares e é indicado para pele extremamente sensível a queimadura solar. Para crianças menores de 6 meses, consultar um médico. Pode causar manchas em tecidos.;70
Fresh Protetor Solar Facial Para Pele Oleosa Derm Care Sem Cor FPS 30,40g;Johnson & Johnson;Descrição do produto Para completar sua rotina de cuidado com a pele, o protetor solar Sun Fresh Derm Care, possui textura ultraleve e seca, que te protege contra os raios UVA, UVB, e ajuda contra a luz visível. Além de tudo isso ele controla a oleosidade da sua pele por 12 horas com complexo antioxidante rejuvenescedor.;30
Garnier Protetor Solar Hidratante Efeito Matte FPS50 Uniform & Matte, Antioleosidade com Vitamina C, 40g, Cor Clara;L'Oréal Brasil;Descrição do produto Descubra o Protetor Solar Hidratante Uniform & Matte, um produto tudo em 1 que oferece alta eficácia dermatológica a um preço acessível. Desenvolvido para corrigir, reduzir e prevenir manchas, proporciona uma pele uniforme e sem imperfeições. Disponível em 4 cores diferentes, se adapta ao subtom da sua pele graças à Tecnologia Camaleão, garantindo uma cobertura uniforme sem deixar um acabamento acinzentado ou esbranquiçado. Benefícios: Com resultados visíveis e comprovados, este protetor solar hidratante oferece correção instantânea de manchas e pele uniforme. A ação antioxidante da Vitamina C garante a redução de manchas. Além disso, a Tecnologia Antioleosidade assegura o efeito matte e a prevenção de manchas solares com o FPS 50. A Tecnologia Silicair Antioleosidade proporciona uma hidratação leve e uniformização da pele, reduzindo a aparência de poros e deixando a pele com um aspecto mais liso.;50
